N: 30; d: 60
Train 1: 0.62754 	 r2: 0.02586
Valid 1: 0.70762 	 r2: 0.12703
Train 2: 0.77750 	 r2: 0.23716
Valid 2: 0.81375 	 r2: 0.30666
Train 3: 0.81229 	 r2: 0.30179
Valid 3: 0.82152 	 r2: 0.31986
Train 4: 0.81802 	 r2: 0.31144
Valid 4: 0.82420 	 r2: 0.32446
Train 5: 0.82193 	 r2: 0.31787
Valid 5: 0.82593 	 r2: 0.32680
Train 6: 0.82454 	 r2: 0.32217
Valid 6: 0.82695 	 r2: 0.32780
Train 7: 0.82689 	 r2: 0.32586
Valid 7: 0.82786 	 r2: 0.32869
Train 8: 0.82877 	 r2: 0.32896
Valid 8: 0.82831 	 r2: 0.32877
Train 9: 0.83039 	 r2: 0.33179
Valid 9: 0.82915 	 r2: 0.32977
Train 10: 0.83214 	 r2: 0.33464
Valid 10: 0.82892 	 r2: 0.32932
Train 11: 0.83372 	 r2: 0.33730
Valid 11: 0.82890 	 r2: 0.32946
Train 12: 0.83549 	 r2: 0.34031
Valid 12: 0.82857 	 r2: 0.32878
Train 13: 0.83681 	 r2: 0.34270
Valid 13: 0.82803 	 r2: 0.32670
Train 14: 0.83847 	 r2: 0.34556
Valid 14: 0.82735 	 r2: 0.32458
Finish: (0.8291549104667757, 0.3297711259725683)
Test 15: 0.82402 	 r2: 0.31945
