N: 30; d: 20
Train 1: 0.69773 	 r2: 0.09726
Valid 1: 0.72550 	 r2: 0.12524
Train 2: 0.72415 	 r2: 0.12594
Valid 2: 0.73289 	 r2: 0.13595
Train 3: 0.72880 	 r2: 0.13159
Valid 3: 0.73521 	 r2: 0.13867
Train 4: 0.73102 	 r2: 0.13434
Valid 4: 0.73600 	 r2: 0.13955
Train 5: 0.73250 	 r2: 0.13623
Valid 5: 0.73657 	 r2: 0.14001
Train 6: 0.73366 	 r2: 0.13776
Valid 6: 0.73668 	 r2: 0.14021
Train 7: 0.73465 	 r2: 0.13905
Valid 7: 0.73690 	 r2: 0.14038
Train 8: 0.73554 	 r2: 0.14022
Valid 8: 0.73705 	 r2: 0.14066
Train 9: 0.73636 	 r2: 0.14126
Valid 9: 0.73714 	 r2: 0.14086
Train 10: 0.73709 	 r2: 0.14219
Valid 10: 0.73712 	 r2: 0.14078
Train 11: 0.73778 	 r2: 0.14304
Valid 11: 0.73703 	 r2: 0.14057
Train 12: 0.73841 	 r2: 0.14381
Valid 12: 0.73688 	 r2: 0.14045
Train 13: 0.73905 	 r2: 0.14461
Valid 13: 0.73680 	 r2: 0.14030
Train 14: 0.73976 	 r2: 0.14549
Valid 14: 0.73661 	 r2: 0.14008
Finish: (0.737139263983418, 0.1408623674955779)
Test 15: 0.73477 	 r2: 0.13735
