N: 30; d: 20
Train 1: 0.67767 	 r2: 0.08037
Valid 1: 0.71841 	 r2: 0.12052
Train 2: 0.71703 	 r2: 0.11909
Valid 2: 0.72855 	 r2: 0.13037
Train 3: 0.72435 	 r2: 0.12689
Valid 3: 0.73119 	 r2: 0.13339
Train 4: 0.72754 	 r2: 0.13054
Valid 4: 0.73276 	 r2: 0.13547
Train 5: 0.72976 	 r2: 0.13317
Valid 5: 0.73380 	 r2: 0.13683
Train 6: 0.73137 	 r2: 0.13513
Valid 6: 0.73449 	 r2: 0.13728
Train 7: 0.73263 	 r2: 0.13667
Valid 7: 0.73480 	 r2: 0.13767
Train 8: 0.73361 	 r2: 0.13788
Valid 8: 0.73519 	 r2: 0.13832
