N: 30; d: 20
Train 1: 0.68152 	 r2: 0.08381
Valid 1: 0.70522 	 r2: 0.10077
Train 2: 0.70732 	 r2: 0.10820
Valid 2: 0.71739 	 r2: 0.11384
Train 3: 0.71749 	 r2: 0.11883
Valid 3: 0.72409 	 r2: 0.12316
Train 4: 0.72296 	 r2: 0.12509
Valid 4: 0.72661 	 r2: 0.12572
Train 5: 0.72523 	 r2: 0.12783
Valid 5: 0.72797 	 r2: 0.12715
Train 6: 0.72656 	 r2: 0.12942
Valid 6: 0.72867 	 r2: 0.12845
Train 7: 0.72769 	 r2: 0.13085
Valid 7: 0.72909 	 r2: 0.12875
Train 8: 0.72856 	 r2: 0.13187
Valid 8: 0.72931 	 r2: 0.12908
Train 9: 0.72921 	 r2: 0.13271
Valid 9: 0.72988 	 r2: 0.12953
Train 10: 0.72989 	 r2: 0.13355
Valid 10: 0.73011 	 r2: 0.12998
Train 11: 0.73059 	 r2: 0.13439
Valid 11: 0.73016 	 r2: 0.13010
Train 12: 0.73113 	 r2: 0.13506
Valid 12: 0.73026 	 r2: 0.13006
Train 13: 0.73171 	 r2: 0.13571
Valid 13: 0.73008 	 r2: 0.13022
Train 14: 0.73216 	 r2: 0.13633
Valid 14: 0.73006 	 r2: 0.13004
Train 15: 0.73271 	 r2: 0.13698
Valid 15: 0.72995 	 r2: 0.12966
Train 16: 0.73313 	 r2: 0.13750
Valid 16: 0.72975 	 r2: 0.12947
Train 17: 0.73360 	 r2: 0.13805
Valid 17: 0.72972 	 r2: 0.12966
Finish: (0.730263729808827, 0.13006269606818044)
Test 18: 0.72720 	 r2: 0.12669
