N: 20; d: 40
Train 1: 0.75249 	 r2: 0.13658
Valid 1: 0.79022 	 r2: 0.19221
Train 2: 0.79468 	 r2: 0.20559
Valid 2: 0.79790 	 r2: 0.20847
Train 3: 0.80143 	 r2: 0.21991
Valid 3: 0.80019 	 r2: 0.21482
Train 4: 0.80507 	 r2: 0.22684
Valid 4: 0.80041 	 r2: 0.21619
Train 5: 0.80730 	 r2: 0.23131
Valid 5: 0.80054 	 r2: 0.21536
Train 6: 0.80914 	 r2: 0.23502
Valid 6: 0.79939 	 r2: 0.21380
Train 7: 0.81058 	 r2: 0.23801
Valid 7: 0.79917 	 r2: 0.21126
Train 8: 0.81200 	 r2: 0.24119
Valid 8: 0.79808 	 r2: 0.20918
Train 9: 0.81318 	 r2: 0.24379
Valid 9: 0.79661 	 r2: 0.20718
Train 10: 0.81451 	 r2: 0.24646
Valid 10: 0.79505 	 r2: 0.20310
Finish: (0.8005403972186013, 0.21535584119307039)
Test 11: 0.80694 	 r2: 0.22536
