N: 20; d: 40
Train 1: 0.71294 	 r2: 0.01669
Valid 1: 0.77828 	 r2: 0.17135
Train 2: 0.78473 	 r2: 0.19118
Valid 2: 0.78970 	 r2: 0.19370
Train 3: 0.79507 	 r2: 0.20960
Valid 3: 0.79511 	 r2: 0.20308
Train 4: 0.80053 	 r2: 0.21952
Valid 4: 0.79722 	 r2: 0.20707
Train 5: 0.80342 	 r2: 0.22511
Valid 5: 0.79795 	 r2: 0.20868
Train 6: 0.80531 	 r2: 0.22885
Valid 6: 0.79841 	 r2: 0.20728
Train 7: 0.80687 	 r2: 0.23198
Valid 7: 0.79855 	 r2: 0.20849
Train 8: 0.80807 	 r2: 0.23443
Valid 8: 0.79835 	 r2: 0.20705
Train 9: 0.80938 	 r2: 0.23704
Valid 9: 0.79830 	 r2: 0.20606
Train 10: 0.81015 	 r2: 0.23884
Valid 10: 0.79772 	 r2: 0.20525
Train 11: 0.81118 	 r2: 0.24076
Valid 11: 0.79725 	 r2: 0.20204
Train 12: 0.81167 	 r2: 0.24217
Valid 12: 0.79690 	 r2: 0.20422
Finish: (0.7985519881942089, 0.20849343061953052)
Test 13: 0.80575 	 r2: 0.22175
