N: 20; d: 40
Train 1: 0.73764 	 r2: 0.11719
Valid 1: 0.77308 	 r2: 0.16401
Train 2: 0.77822 	 r2: 0.18296
Valid 2: 0.78104 	 r2: 0.18096
Train 3: 0.78521 	 r2: 0.19742
Valid 3: 0.78433 	 r2: 0.18426
Train 4: 0.78980 	 r2: 0.20519
Valid 4: 0.78681 	 r2: 0.18596
Train 5: 0.79374 	 r2: 0.21165
Valid 5: 0.78740 	 r2: 0.18599
Train 6: 0.79680 	 r2: 0.21681
Valid 6: 0.78895 	 r2: 0.18749
Train 7: 0.79921 	 r2: 0.22107
Valid 7: 0.78802 	 r2: 0.18391
Train 8: 0.80122 	 r2: 0.22454
Valid 8: 0.78955 	 r2: 0.18786
Train 9: 0.80294 	 r2: 0.22796
Valid 9: 0.78935 	 r2: 0.18543
Train 10: 0.80443 	 r2: 0.23085
Valid 10: 0.78828 	 r2: 0.18221
Train 11: 0.80563 	 r2: 0.23293
Valid 11: 0.78838 	 r2: 0.18309
Train 12: 0.80680 	 r2: 0.23553
Valid 12: 0.78750 	 r2: 0.18120
Train 13: 0.80795 	 r2: 0.23784
Valid 13: 0.78750 	 r2: 0.17863
Finish: (0.7895451635865618, 0.1878566949567262)
Test 14: 0.79708 	 r2: 0.20233
