N: 30; d: 40
Train 1: 0.70417 	 r2: 0.09779
Valid 1: 0.77733 	 r2: 0.18372
Train 2: 0.81609 	 r2: 0.24169
Valid 2: 0.79291 	 r2: 0.20623
Train 3: 0.82608 	 r2: 0.26081
Valid 3: 0.79698 	 r2: 0.21099
Train 4: 0.83124 	 r2: 0.26996
Valid 4: 0.79978 	 r2: 0.21447
Train 5: 0.83658 	 r2: 0.27980
Valid 5: 0.80329 	 r2: 0.22028
Train 6: 0.84193 	 r2: 0.29014
Valid 6: 0.80626 	 r2: 0.22278
Train 7: 0.84675 	 r2: 0.29953
Valid 7: 0.80819 	 r2: 0.22335
Train 8: 0.85129 	 r2: 0.30842
Valid 8: 0.80971 	 r2: 0.22450
Train 9: 0.85537 	 r2: 0.31664
Valid 9: 0.81013 	 r2: 0.22509
Train 10: 0.85914 	 r2: 0.32447
Valid 10: 0.80963 	 r2: 0.22316
Train 11: 0.86249 	 r2: 0.33176
Valid 11: 0.80946 	 r2: 0.22340
Train 12: 0.86540 	 r2: 0.33850
Valid 12: 0.80913 	 r2: 0.22234
Train 13: 0.86791 	 r2: 0.34430
Valid 13: 0.80839 	 r2: 0.21981
Train 14: 0.87053 	 r2: 0.35021
Valid 14: 0.80655 	 r2: 0.21268
Finish: (0.8101322501552377, 0.22508939021958407)
Test 15: 0.82612 	 r2: 0.25051
