N: 30; d: 40
Train 1: 0.70747 	 r2: 0.08139
Valid 1: 0.75857 	 r2: 0.15171
Train 2: 0.78617 	 r2: 0.19515
Valid 2: 0.76680 	 r2: 0.17510
Train 3: 0.80827 	 r2: 0.23127
Valid 3: 0.79343 	 r2: 0.19669
Train 4: 0.82347 	 r2: 0.25512
Valid 4: 0.81059 	 r2: 0.22116
Train 5: 0.83340 	 r2: 0.27104
Valid 5: 0.81554 	 r2: 0.23703
Train 6: 0.84049 	 r2: 0.28367
Valid 6: 0.81910 	 r2: 0.24941
Train 7: 0.84642 	 r2: 0.29571
Valid 7: 0.82052 	 r2: 0.25212
Train 8: 0.85067 	 r2: 0.30502
Valid 8: 0.82071 	 r2: 0.25127
Train 9: 0.85354 	 r2: 0.31157
Valid 9: 0.82039 	 r2: 0.25055
Train 10: 0.85365 	 r2: 0.31199
Valid 10: 0.81634 	 r2: 0.24637
Train 11: 0.85639 	 r2: 0.31753
Valid 11: 0.81884 	 r2: 0.24487
Train 12: 0.85444 	 r2: 0.31330
Valid 12: 0.81788 	 r2: 0.24408
Train 13: 0.85573 	 r2: 0.31648
Valid 13: 0.81892 	 r2: 0.24748
Finish: (0.8207054032676955, 0.2512652259113203)
Test 14: 0.83408 	 r2: 0.26798
