N: 30; d: 40
Train 1: 0.66393 	 r2: 0.05876
Valid 1: 0.75776 	 r2: 0.14365
Train 2: 0.78640 	 r2: 0.19555
Valid 2: 0.76248 	 r2: 0.15780
Train 3: 0.79427 	 r2: 0.21262
Valid 3: 0.76924 	 r2: 0.17313
Train 4: 0.80749 	 r2: 0.23176
Valid 4: 0.78954 	 r2: 0.19811
Train 5: 0.82184 	 r2: 0.25330
Valid 5: 0.80223 	 r2: 0.20701
Train 6: 0.83152 	 r2: 0.26829
Valid 6: 0.81293 	 r2: 0.22402
Train 7: 0.83951 	 r2: 0.28285
Valid 7: 0.81752 	 r2: 0.23777
Train 8: 0.84597 	 r2: 0.29621
Valid 8: 0.81984 	 r2: 0.24763
Train 9: 0.85134 	 r2: 0.30782
Valid 9: 0.82050 	 r2: 0.24852
Train 10: 0.85431 	 r2: 0.31406
Valid 10: 0.82113 	 r2: 0.24934
Train 11: 0.85667 	 r2: 0.31895
Valid 11: 0.82124 	 r2: 0.25090
Train 12: 0.85841 	 r2: 0.32268
Valid 12: 0.82122 	 r2: 0.24968
Train 13: 0.85819 	 r2: 0.32184
Valid 13: 0.82028 	 r2: 0.25114
Train 14: 0.86150 	 r2: 0.32953
Valid 14: 0.82035 	 r2: 0.24334
Train 15: 0.86289 	 r2: 0.33295
Valid 15: 0.82078 	 r2: 0.24684
Train 16: 0.86460 	 r2: 0.33643
Valid 16: 0.82003 	 r2: 0.24544
Finish: (0.8212372186921671, 0.2509026551147795)
Test 17: 0.83448 	 r2: 0.26822
