N: 10; d: 60
Train 1: 0.71483 	 r2: 0.14590
Valid 1: 0.80252 	 r2: 0.26211
Train 2: 0.80138 	 r2: 0.28021
Valid 2: 0.81653 	 r2: 0.30793
Train 3: 0.81200 	 r2: 0.30062
Valid 3: 0.82043 	 r2: 0.31603
Train 4: 0.81568 	 r2: 0.30772
Valid 4: 0.82242 	 r2: 0.32166
Train 5: 0.81867 	 r2: 0.31256
Valid 5: 0.82371 	 r2: 0.32387
Train 6: 0.82166 	 r2: 0.31711
Valid 6: 0.82497 	 r2: 0.32530
Train 7: 0.82426 	 r2: 0.32118
Valid 7: 0.82646 	 r2: 0.32698
Train 8: 0.82626 	 r2: 0.32413
Valid 8: 0.82733 	 r2: 0.32797
Train 9: 0.82816 	 r2: 0.32704
Valid 9: 0.82809 	 r2: 0.32879
Train 10: 0.82948 	 r2: 0.32924
Valid 10: 0.82842 	 r2: 0.32867
Train 11: 0.83090 	 r2: 0.33152
Valid 11: 0.82876 	 r2: 0.32910
Train 12: 0.83208 	 r2: 0.33344
Valid 12: 0.82899 	 r2: 0.32941
Train 13: 0.83347 	 r2: 0.33561
Valid 13: 0.82879 	 r2: 0.32943
Train 14: 0.83481 	 r2: 0.33793
Valid 14: 0.82849 	 r2: 0.32902
Train 15: 0.83635 	 r2: 0.34040
Valid 15: 0.82838 	 r2: 0.32868
Train 16: 0.83776 	 r2: 0.34271
Valid 16: 0.82788 	 r2: 0.32773
Train 17: 0.83921 	 r2: 0.34528
Valid 17: 0.82740 	 r2: 0.32611
Finish: (0.8289890362823191, 0.32940632601660313)
Test 18: 0.82486 	 r2: 0.32052
