N: 10; d: 60
Train 1: 0.69216 	 r2: 0.11834
Valid 1: 0.79538 	 r2: 0.26963
Train 2: 0.80070 	 r2: 0.28239
Valid 2: 0.81575 	 r2: 0.31000
Train 3: 0.81157 	 r2: 0.30128
Valid 3: 0.82025 	 r2: 0.31650
Train 4: 0.81700 	 r2: 0.30993
Valid 4: 0.82255 	 r2: 0.31936
Train 5: 0.82032 	 r2: 0.31546
Valid 5: 0.82419 	 r2: 0.32211
Train 6: 0.82304 	 r2: 0.31963
Valid 6: 0.82525 	 r2: 0.32413
Train 7: 0.82517 	 r2: 0.32285
Valid 7: 0.82586 	 r2: 0.32520
Train 8: 0.82685 	 r2: 0.32547
Valid 8: 0.82626 	 r2: 0.32513
Train 9: 0.82832 	 r2: 0.32791
Valid 9: 0.82676 	 r2: 0.32616
Train 10: 0.82971 	 r2: 0.33016
Valid 10: 0.82720 	 r2: 0.32689
Train 11: 0.83104 	 r2: 0.33229
Valid 11: 0.82748 	 r2: 0.32775
Train 12: 0.83234 	 r2: 0.33443
Valid 12: 0.82737 	 r2: 0.32787
Train 13: 0.83362 	 r2: 0.33665
Valid 13: 0.82733 	 r2: 0.32791
Train 14: 0.83502 	 r2: 0.33908
Valid 14: 0.82743 	 r2: 0.32763
Train 15: 0.83636 	 r2: 0.34139
Valid 15: 0.82661 	 r2: 0.32556
Train 16: 0.83761 	 r2: 0.34356
Valid 16: 0.82583 	 r2: 0.32324
Finish: (0.8274783968403134, 0.3277490396025977)
Test 17: 0.82375 	 r2: 0.31939
