N: 30; d: 60
Train 1: 0.63103 	 r2: 0.04685
Valid 1: 0.77621 	 r2: 0.22292
Train 2: 0.79314 	 r2: 0.26354
Valid 2: 0.81233 	 r2: 0.29393
Train 3: 0.80798 	 r2: 0.29441
Valid 3: 0.81713 	 r2: 0.30611
Train 4: 0.81248 	 r2: 0.30303
Valid 4: 0.82024 	 r2: 0.31858
Train 5: 0.81709 	 r2: 0.31050
Valid 5: 0.82253 	 r2: 0.32206
Train 6: 0.81965 	 r2: 0.31482
Valid 6: 0.82409 	 r2: 0.32454
Train 7: 0.82184 	 r2: 0.31832
Valid 7: 0.82563 	 r2: 0.32678
Train 8: 0.82358 	 r2: 0.32107
Valid 8: 0.82630 	 r2: 0.32802
Train 9: 0.82514 	 r2: 0.32359
Valid 9: 0.82717 	 r2: 0.32908
Train 10: 0.82672 	 r2: 0.32609
Valid 10: 0.82771 	 r2: 0.32915
Train 11: 0.82825 	 r2: 0.32837
Valid 11: 0.82843 	 r2: 0.32984
Train 12: 0.82968 	 r2: 0.33063
Valid 12: 0.82875 	 r2: 0.32964
Train 13: 0.83087 	 r2: 0.33251
Valid 13: 0.82926 	 r2: 0.33062
Train 14: 0.83211 	 r2: 0.33446
Valid 14: 0.82917 	 r2: 0.33031
Train 15: 0.83324 	 r2: 0.33637
Valid 15: 0.82930 	 r2: 0.33050
Train 16: 0.83410 	 r2: 0.33784
Valid 16: 0.82933 	 r2: 0.33042
Train 17: 0.83523 	 r2: 0.33978
Valid 17: 0.82926 	 r2: 0.32997
Train 18: 0.83610 	 r2: 0.34132
Valid 18: 0.82891 	 r2: 0.32817
Train 19: 0.83714 	 r2: 0.34316
Valid 19: 0.82906 	 r2: 0.32829
Train 20: 0.83806 	 r2: 0.34491
Valid 20: 0.82923 	 r2: 0.32770
Train 21: 0.83933 	 r2: 0.34709
Valid 21: 0.82871 	 r2: 0.32751
Finish: (0.8293298319599687, 0.3304214986655981)
Test 22: 0.82396 	 r2: 0.32024
