N: 20; d: 20
Train 1: 0.62550 	 r2: 0.04421
Valid 1: 0.69661 	 r2: 0.11291
Train 2: 0.74588 	 r2: 0.18126
Valid 2: 0.79669 	 r2: 0.26581
Train 3: 0.80332 	 r2: 0.28389
Valid 3: 0.81226 	 r2: 0.30114
Train 4: 0.81283 	 r2: 0.30230
Valid 4: 0.81718 	 r2: 0.31215
Train 5: 0.81622 	 r2: 0.30799
Valid 5: 0.81950 	 r2: 0.31625
Train 6: 0.81868 	 r2: 0.31205
Valid 6: 0.82139 	 r2: 0.31932
Train 7: 0.82066 	 r2: 0.31540
Valid 7: 0.82276 	 r2: 0.32124
Train 8: 0.82256 	 r2: 0.31856
Valid 8: 0.82383 	 r2: 0.32303
Train 9: 0.82401 	 r2: 0.32100
Valid 9: 0.82481 	 r2: 0.32471
Train 10: 0.82534 	 r2: 0.32316
Valid 10: 0.82551 	 r2: 0.32593
Train 11: 0.82640 	 r2: 0.32489
Valid 11: 0.82610 	 r2: 0.32669
Train 12: 0.82751 	 r2: 0.32666
Valid 12: 0.82674 	 r2: 0.32764
Train 13: 0.82842 	 r2: 0.32818
Valid 13: 0.82719 	 r2: 0.32836
Train 14: 0.82947 	 r2: 0.32988
Valid 14: 0.82747 	 r2: 0.32880
Train 15: 0.83031 	 r2: 0.33127
Valid 15: 0.82796 	 r2: 0.32948
Train 16: 0.83137 	 r2: 0.33293
Valid 16: 0.82845 	 r2: 0.32996
Train 17: 0.83228 	 r2: 0.33441
Valid 17: 0.82877 	 r2: 0.33028
Train 18: 0.83319 	 r2: 0.33585
Valid 18: 0.82890 	 r2: 0.33027
Train 19: 0.83396 	 r2: 0.33712
Valid 19: 0.82910 	 r2: 0.33042
Train 20: 0.83469 	 r2: 0.33838
Valid 20: 0.82923 	 r2: 0.33047
Train 21: 0.83537 	 r2: 0.33956
Valid 21: 0.82915 	 r2: 0.33009
Train 22: 0.83607 	 r2: 0.34076
Valid 22: 0.82930 	 r2: 0.33000
Train 23: 0.83674 	 r2: 0.34193
Valid 23: 0.82924 	 r2: 0.32975
Train 24: 0.83737 	 r2: 0.34303
Valid 24: 0.82917 	 r2: 0.32939
Train 25: 0.83798 	 r2: 0.34408
Valid 25: 0.82886 	 r2: 0.32881
Train 26: 0.83853 	 r2: 0.34511
Valid 26: 0.82900 	 r2: 0.32884
Train 27: 0.83917 	 r2: 0.34624
Valid 27: 0.82876 	 r2: 0.32812
Finish: (0.8292980785491237, 0.3300044195632643)
Test 28: 0.82404 	 r2: 0.31907
Train 1: 0.63555 	 r2: 0.05431
Valid 1: 0.69656 	 r2: 0.11335
Train 2: 0.75229 	 r2: 0.19726
Valid 2: 0.80512 	 r2: 0.29007
Train 3: 0.80830 	 r2: 0.29413
Valid 3: 0.81550 	 r2: 0.30942
Train 4: 0.81353 	 r2: 0.30377
Valid 4: 0.81824 	 r2: 0.31296
Train 5: 0.81698 	 r2: 0.30959
Valid 5: 0.82060 	 r2: 0.31615
Train 6: 0.81991 	 r2: 0.31435
Valid 6: 0.82286 	 r2: 0.31997
Train 7: 0.82229 	 r2: 0.31825
Valid 7: 0.82424 	 r2: 0.32319
Train 8: 0.82384 	 r2: 0.32078
Valid 8: 0.82525 	 r2: 0.32480
Train 9: 0.82503 	 r2: 0.32268
Valid 9: 0.82565 	 r2: 0.32481
Train 10: 0.82626 	 r2: 0.32472
Valid 10: 0.82607 	 r2: 0.32562
Train 11: 0.82720 	 r2: 0.32619
Valid 11: 0.82637 	 r2: 0.32583
Train 12: 0.82833 	 r2: 0.32794
Valid 12: 0.82704 	 r2: 0.32691
Train 13: 0.82919 	 r2: 0.32928
Valid 13: 0.82729 	 r2: 0.32668
Train 14: 0.83020 	 r2: 0.33088
Valid 14: 0.82775 	 r2: 0.32773
Train 15: 0.83107 	 r2: 0.33224
Valid 15: 0.82810 	 r2: 0.32797
Train 16: 0.83203 	 r2: 0.33380
Valid 16: 0.82817 	 r2: 0.32845
Train 17: 0.83279 	 r2: 0.33506
Valid 17: 0.82807 	 r2: 0.32805
Train 18: 0.83361 	 r2: 0.33653
Valid 18: 0.82815 	 r2: 0.32846
Train 19: 0.83419 	 r2: 0.33756
Valid 19: 0.82791 	 r2: 0.32805
Train 20: 0.83491 	 r2: 0.33875
Valid 20: 0.82818 	 r2: 0.32855
Train 21: 0.83547 	 r2: 0.33974
Valid 21: 0.82788 	 r2: 0.32769
Train 22: 0.83613 	 r2: 0.34085
Valid 22: 0.82798 	 r2: 0.32784
Train 23: 0.83671 	 r2: 0.34198
Valid 23: 0.82796 	 r2: 0.32745
Train 24: 0.83742 	 r2: 0.34323
Valid 24: 0.82790 	 r2: 0.32766
Train 25: 0.83782 	 r2: 0.34404
Valid 25: 0.82763 	 r2: 0.32682
Finish: (0.8281761711200727, 0.3285498631000874)
Test 26: 0.82303 	 r2: 0.31821
Train 1: 0.56483 	 r2: -0.10421
Valid 1: 0.68317 	 r2: 0.09741
Train 2: 0.70563 	 r2: 0.12559
Valid 2: 0.76806 	 r2: 0.21424
Train 3: 0.78873 	 r2: 0.25982
Valid 3: 0.80604 	 r2: 0.29317
Train 4: 0.80679 	 r2: 0.29247
Valid 4: 0.81404 	 r2: 0.30499
Train 5: 0.81279 	 r2: 0.30251
Valid 5: 0.81814 	 r2: 0.31292
Train 6: 0.81621 	 r2: 0.30782
Valid 6: 0.82060 	 r2: 0.31762
Train 7: 0.81858 	 r2: 0.31153
Valid 7: 0.82245 	 r2: 0.32067
Train 8: 0.82013 	 r2: 0.31408
Valid 8: 0.82371 	 r2: 0.32251
Train 9: 0.82139 	 r2: 0.31622
Valid 9: 0.82472 	 r2: 0.32402
Train 10: 0.82233 	 r2: 0.31786
Valid 10: 0.82543 	 r2: 0.32512
Train 11: 0.82349 	 r2: 0.31985
Valid 11: 0.82614 	 r2: 0.32633
Train 12: 0.82428 	 r2: 0.32131
Valid 12: 0.82664 	 r2: 0.32708
Train 13: 0.82527 	 r2: 0.32296
Valid 13: 0.82705 	 r2: 0.32768
Train 14: 0.82594 	 r2: 0.32414
Valid 14: 0.82732 	 r2: 0.32804
Train 15: 0.82672 	 r2: 0.32544
Valid 15: 0.82739 	 r2: 0.32788
Train 16: 0.82721 	 r2: 0.32634
Valid 16: 0.82753 	 r2: 0.32757
Train 17: 0.82802 	 r2: 0.32764
Valid 17: 0.82750 	 r2: 0.32670
Train 18: 0.82852 	 r2: 0.32852
Valid 18: 0.82747 	 r2: 0.32545
Train 19: 0.82944 	 r2: 0.32998
Valid 19: 0.82762 	 r2: 0.32602
Train 20: 0.83008 	 r2: 0.33111
Valid 20: 0.82783 	 r2: 0.32581
Train 21: 0.83083 	 r2: 0.33228
Valid 21: 0.82788 	 r2: 0.32548
Train 22: 0.83153 	 r2: 0.33352
Valid 22: 0.82818 	 r2: 0.32633
Train 23: 0.83229 	 r2: 0.33475
Valid 23: 0.82840 	 r2: 0.32669
Train 24: 0.83301 	 r2: 0.33594
Valid 24: 0.82859 	 r2: 0.32741
Train 25: 0.83366 	 r2: 0.33706
Valid 25: 0.82857 	 r2: 0.32707
Train 26: 0.83415 	 r2: 0.33791
Valid 26: 0.82849 	 r2: 0.32650
Train 27: 0.83479 	 r2: 0.33898
Valid 27: 0.82848 	 r2: 0.32638
Train 28: 0.83536 	 r2: 0.34002
Valid 28: 0.82854 	 r2: 0.32715
Train 29: 0.83592 	 r2: 0.34095
Valid 29: 0.82831 	 r2: 0.32656
Finish: (0.8285892851315766, 0.3274063644306051)
Test 30: 0.82262 	 r2: 0.31493
Train 1: 0.64073 	 r2: 0.05954
Valid 1: 0.71277 	 r2: 0.13099
Train 2: 0.77034 	 r2: 0.22345
Valid 2: 0.80690 	 r2: 0.29155
Train 3: 0.80865 	 r2: 0.29378
Valid 3: 0.81794 	 r2: 0.31273
Train 4: 0.81372 	 r2: 0.30296
Valid 4: 0.82073 	 r2: 0.31771
Train 5: 0.81704 	 r2: 0.30860
Valid 5: 0.82237 	 r2: 0.32077
Train 6: 0.81975 	 r2: 0.31322
Valid 6: 0.82365 	 r2: 0.32315
Train 7: 0.82199 	 r2: 0.31698
Valid 7: 0.82485 	 r2: 0.32508
Train 8: 0.82385 	 r2: 0.32011
Valid 8: 0.82578 	 r2: 0.32652
Train 9: 0.82533 	 r2: 0.32256
Valid 9: 0.82656 	 r2: 0.32772
Train 10: 0.82678 	 r2: 0.32499
Valid 10: 0.82725 	 r2: 0.32871
Train 11: 0.82800 	 r2: 0.32697
Valid 11: 0.82771 	 r2: 0.32939
Train 12: 0.82904 	 r2: 0.32868
Valid 12: 0.82816 	 r2: 0.32996
Train 13: 0.82989 	 r2: 0.33018
Valid 13: 0.82840 	 r2: 0.33017
Train 14: 0.83068 	 r2: 0.33154
Valid 14: 0.82858 	 r2: 0.33019
Train 15: 0.83143 	 r2: 0.33284
Valid 15: 0.82854 	 r2: 0.32969
Train 16: 0.83204 	 r2: 0.33390
Valid 16: 0.82845 	 r2: 0.32934
Train 17: 0.83256 	 r2: 0.33487
Valid 17: 0.82807 	 r2: 0.32763
Train 18: 0.83311 	 r2: 0.33585
Valid 18: 0.82796 	 r2: 0.32681
Train 19: 0.83365 	 r2: 0.33678
Valid 19: 0.82742 	 r2: 0.32448
Finish: (0.828583789014165, 0.33018544585708753)
Test 20: 0.82278 	 r2: 0.31888
Train 1: 0.65793 	 r2: 0.07465
Valid 1: 0.73962 	 r2: 0.16543
Train 2: 0.78479 	 r2: 0.24733
Valid 2: 0.80889 	 r2: 0.29610
Train 3: 0.80846 	 r2: 0.29401
Valid 3: 0.81731 	 r2: 0.31188
Train 4: 0.81289 	 r2: 0.30200
Valid 4: 0.81955 	 r2: 0.31615
Train 5: 0.81597 	 r2: 0.30720
Valid 5: 0.82133 	 r2: 0.31931
Train 6: 0.81846 	 r2: 0.31138
Valid 6: 0.82273 	 r2: 0.32164
Train 7: 0.82031 	 r2: 0.31457
Valid 7: 0.82386 	 r2: 0.32323
Train 8: 0.82237 	 r2: 0.31788
Valid 8: 0.82476 	 r2: 0.32441
Train 9: 0.82375 	 r2: 0.32023
Valid 9: 0.82548 	 r2: 0.32525
Train 10: 0.82524 	 r2: 0.32262
Valid 10: 0.82614 	 r2: 0.32613
Train 11: 0.82623 	 r2: 0.32442
Valid 11: 0.82654 	 r2: 0.32670
Train 12: 0.82720 	 r2: 0.32607
Valid 12: 0.82687 	 r2: 0.32710
Train 13: 0.82797 	 r2: 0.32742
Valid 13: 0.82718 	 r2: 0.32750
Train 14: 0.82879 	 r2: 0.32883
Valid 14: 0.82745 	 r2: 0.32790
Train 15: 0.82933 	 r2: 0.32978
Valid 15: 0.82788 	 r2: 0.32848
Train 16: 0.82989 	 r2: 0.33076
Valid 16: 0.82803 	 r2: 0.32839
Train 17: 0.83010 	 r2: 0.33114
Valid 17: 0.82773 	 r2: 0.32602
Train 18: 0.83041 	 r2: 0.33150
Valid 18: 0.82696 	 r2: 0.32180
Train 19: 0.83155 	 r2: 0.33350
Valid 19: 0.82724 	 r2: 0.32243
Train 20: 0.83251 	 r2: 0.33515
Valid 20: 0.82753 	 r2: 0.32368
Train 21: 0.83307 	 r2: 0.33616
Valid 21: 0.82771 	 r2: 0.32477
Finish: (0.8280253277801817, 0.32839179374045335)
Test 22: 0.82312 	 r2: 0.31940
Train 1: 0.66796 	 r2: 0.08393
Valid 1: 0.76421 	 r2: 0.20929
Train 2: 0.79049 	 r2: 0.25811
Valid 2: 0.80999 	 r2: 0.29709
Train 3: 0.80973 	 r2: 0.29621
Valid 3: 0.81754 	 r2: 0.31248
Train 4: 0.81407 	 r2: 0.30387
Valid 4: 0.81977 	 r2: 0.31585
Train 5: 0.81690 	 r2: 0.30864
Valid 5: 0.82098 	 r2: 0.31693
Train 6: 0.81913 	 r2: 0.31236
Valid 6: 0.82234 	 r2: 0.31882
Train 7: 0.82078 	 r2: 0.31517
Valid 7: 0.82277 	 r2: 0.31812
Train 8: 0.82225 	 r2: 0.31761
Valid 8: 0.82364 	 r2: 0.31941
Train 9: 0.82353 	 r2: 0.31980
Valid 9: 0.82421 	 r2: 0.31957
Train 10: 0.82477 	 r2: 0.32184
Valid 10: 0.82516 	 r2: 0.32164
Train 11: 0.82575 	 r2: 0.32347
Valid 11: 0.82535 	 r2: 0.32162
Train 12: 0.82671 	 r2: 0.32517
Valid 12: 0.82585 	 r2: 0.32328
Train 13: 0.82752 	 r2: 0.32649
Valid 13: 0.82590 	 r2: 0.32295
Train 14: 0.82837 	 r2: 0.32792
Valid 14: 0.82634 	 r2: 0.32446
Train 15: 0.82916 	 r2: 0.32918
Valid 15: 0.82659 	 r2: 0.32505
Train 16: 0.83004 	 r2: 0.33055
Valid 16: 0.82695 	 r2: 0.32642
Train 17: 0.83078 	 r2: 0.33164
Valid 17: 0.82724 	 r2: 0.32674
Train 18: 0.83153 	 r2: 0.33283
Valid 18: 0.82720 	 r2: 0.32681
Train 19: 0.83227 	 r2: 0.33392
Valid 19: 0.82740 	 r2: 0.32738
Train 20: 0.83305 	 r2: 0.33520
Valid 20: 0.82732 	 r2: 0.32735
Train 21: 0.83392 	 r2: 0.33652
Valid 21: 0.82766 	 r2: 0.32790
Train 22: 0.83468 	 r2: 0.33787
Valid 22: 0.82764 	 r2: 0.32765
Train 23: 0.83536 	 r2: 0.33904
Valid 23: 0.82788 	 r2: 0.32772
Train 24: 0.83604 	 r2: 0.34018
Valid 24: 0.82788 	 r2: 0.32761
Train 25: 0.83677 	 r2: 0.34147
Valid 25: 0.82808 	 r2: 0.32769
Train 26: 0.83735 	 r2: 0.34249
Valid 26: 0.82797 	 r2: 0.32740
Train 27: 0.83780 	 r2: 0.34324
Valid 27: 0.82798 	 r2: 0.32705
Train 28: 0.83853 	 r2: 0.34449
Valid 28: 0.82818 	 r2: 0.32715
Train 29: 0.83894 	 r2: 0.34520
Valid 29: 0.82780 	 r2: 0.32652
Train 30: 0.83963 	 r2: 0.34646
Valid 30: 0.82785 	 r2: 0.32587
Train 31: 0.84012 	 r2: 0.34722
Valid 31: 0.82752 	 r2: 0.32514
Train 32: 0.84076 	 r2: 0.34839
Valid 32: 0.82742 	 r2: 0.32513
Train 33: 0.84123 	 r2: 0.34920
Valid 33: 0.82728 	 r2: 0.32408
Finish: (0.8281785876393032, 0.32715031498629954)
Test 34: 0.82439 	 r2: 0.31940
N: 20; d: 40
Train 1: 0.62530 	 r2: 0.02218
Valid 1: 0.71321 	 r2: 0.13228
Train 2: 0.77708 	 r2: 0.23548
Valid 2: 0.81164 	 r2: 0.30313
Train 3: 0.81152 	 r2: 0.30046
Valid 3: 0.81963 	 r2: 0.31699
Train 4: 0.81691 	 r2: 0.30922
Valid 4: 0.82293 	 r2: 0.32132
Train 5: 0.82013 	 r2: 0.31458
Valid 5: 0.82531 	 r2: 0.32481
Train 6: 0.82272 	 r2: 0.31875
Valid 6: 0.82666 	 r2: 0.32695
Train 7: 0.82510 	 r2: 0.32262
Valid 7: 0.82783 	 r2: 0.32863
Train 8: 0.82713 	 r2: 0.32600
Valid 8: 0.82827 	 r2: 0.32958
Train 9: 0.82846 	 r2: 0.32830
Valid 9: 0.82865 	 r2: 0.33016
Train 10: 0.82979 	 r2: 0.33051
Valid 10: 0.82886 	 r2: 0.32938
Train 11: 0.83103 	 r2: 0.33255
Valid 11: 0.82879 	 r2: 0.32839
Train 12: 0.83265 	 r2: 0.33523
Valid 12: 0.82923 	 r2: 0.32936
Train 13: 0.83405 	 r2: 0.33768
Valid 13: 0.82947 	 r2: 0.33026
Train 14: 0.83523 	 r2: 0.33962
Valid 14: 0.82965 	 r2: 0.33054
Train 15: 0.83624 	 r2: 0.34140
Valid 15: 0.82945 	 r2: 0.33021
Train 16: 0.83738 	 r2: 0.34336
Valid 16: 0.82969 	 r2: 0.33075
Train 17: 0.83863 	 r2: 0.34563
Valid 17: 0.82955 	 r2: 0.33043
Train 18: 0.83961 	 r2: 0.34730
Valid 18: 0.82937 	 r2: 0.32959
Train 19: 0.84065 	 r2: 0.34920
Valid 19: 0.82875 	 r2: 0.32827
