N: 20; d: 20
Train 1: 0.67638 	 r2: 0.06611
Valid 1: 0.77694 	 r2: 0.22837
Train 2: 0.77836 	 r2: 0.23360
Valid 2: 0.78704 	 r2: 0.25454
Train 3: 0.78665 	 r2: 0.25466
Valid 3: 0.79429 	 r2: 0.27057
Train 4: 0.79089 	 r2: 0.26394
Valid 4: 0.79774 	 r2: 0.27659
Train 5: 0.79465 	 r2: 0.27129
Valid 5: 0.80124 	 r2: 0.28283
Train 6: 0.79807 	 r2: 0.27816
Valid 6: 0.80414 	 r2: 0.28840
Train 7: 0.80139 	 r2: 0.28440
Valid 7: 0.80660 	 r2: 0.29305
Train 8: 0.80427 	 r2: 0.28948
Valid 8: 0.80956 	 r2: 0.29776
Train 9: 0.80733 	 r2: 0.29477
Valid 9: 0.81212 	 r2: 0.30254
Train 10: 0.80970 	 r2: 0.29910
Valid 10: 0.81413 	 r2: 0.30594
Train 11: 0.81209 	 r2: 0.30291
Valid 11: 0.81586 	 r2: 0.30863
Train 12: 0.81439 	 r2: 0.30643
Valid 12: 0.81725 	 r2: 0.31081
Train 13: 0.81618 	 r2: 0.30914
Valid 13: 0.81870 	 r2: 0.31264
Train 14: 0.81780 	 r2: 0.31164
Valid 14: 0.81970 	 r2: 0.31432
Train 15: 0.81925 	 r2: 0.31380
Valid 15: 0.82062 	 r2: 0.31572
Train 16: 0.82049 	 r2: 0.31584
Valid 16: 0.82139 	 r2: 0.31698
Train 17: 0.82167 	 r2: 0.31766
Valid 17: 0.82172 	 r2: 0.31790
Train 18: 0.82269 	 r2: 0.31936
Valid 18: 0.82214 	 r2: 0.31850
Train 19: 0.82352 	 r2: 0.32073
Valid 19: 0.82245 	 r2: 0.31934
Train 20: 0.82412 	 r2: 0.32180
Valid 20: 0.82253 	 r2: 0.31919
Train 21: 0.82492 	 r2: 0.32317
Valid 21: 0.82294 	 r2: 0.32000
Train 22: 0.82546 	 r2: 0.32398
Valid 22: 0.82303 	 r2: 0.31994
Train 23: 0.82614 	 r2: 0.32510
Valid 23: 0.82315 	 r2: 0.32014
Train 24: 0.82677 	 r2: 0.32621
Valid 24: 0.82320 	 r2: 0.32022
Train 25: 0.82734 	 r2: 0.32716
