N: 20; d: 20
Train 1: 0.61471 	 r2: 0.01290
Valid 1: 0.69638 	 r2: 0.11421
Train 2: 0.73087 	 r2: 0.15861
Valid 2: 0.79655 	 r2: 0.26379
Train 3: 0.80613 	 r2: 0.28718
Valid 3: 0.81662 	 r2: 0.31115
Train 4: 0.81496 	 r2: 0.30578
Valid 4: 0.82066 	 r2: 0.31868
Train 5: 0.81767 	 r2: 0.31069
Valid 5: 0.82262 	 r2: 0.32149
Train 6: 0.81933 	 r2: 0.31356
Valid 6: 0.82335 	 r2: 0.32142
Train 7: 0.82085 	 r2: 0.31600
Valid 7: 0.82379 	 r2: 0.32085
Train 8: 0.82275 	 r2: 0.31899
Valid 8: 0.82475 	 r2: 0.32292
Train 9: 0.82393 	 r2: 0.32097
Valid 9: 0.82515 	 r2: 0.32299
Train 10: 0.82533 	 r2: 0.32321
Valid 10: 0.82596 	 r2: 0.32491
Train 11: 0.82634 	 r2: 0.32488
Valid 11: 0.82617 	 r2: 0.32470
Train 12: 0.82739 	 r2: 0.32654
Valid 12: 0.82668 	 r2: 0.32561
Train 13: 0.82831 	 r2: 0.32801
Valid 13: 0.82705 	 r2: 0.32622
Train 14: 0.82918 	 r2: 0.32942
Valid 14: 0.82738 	 r2: 0.32670
Train 15: 0.82994 	 r2: 0.33069
Valid 15: 0.82753 	 r2: 0.32675
Train 16: 0.83071 	 r2: 0.33194
Valid 16: 0.82785 	 r2: 0.32721
Train 17: 0.83137 	 r2: 0.33306
Valid 17: 0.82783 	 r2: 0.32685
Train 18: 0.83213 	 r2: 0.33433
Valid 18: 0.82796 	 r2: 0.32718
Train 19: 0.83279 	 r2: 0.33543
Valid 19: 0.82780 	 r2: 0.32636
Train 20: 0.83350 	 r2: 0.33655
Valid 20: 0.82809 	 r2: 0.32735
Train 21: 0.83416 	 r2: 0.33766
Valid 21: 0.82800 	 r2: 0.32691
Train 22: 0.83474 	 r2: 0.33868
Valid 22: 0.82825 	 r2: 0.32760
Train 23: 0.83530 	 r2: 0.33963
Valid 23: 0.82825 	 r2: 0.32723
Train 24: 0.83596 	 r2: 0.34076
Valid 24: 0.82832 	 r2: 0.32789
Train 25: 0.83623 	 r2: 0.34115
Valid 25: 0.82797 	 r2: 0.32692
Train 26: 0.83712 	 r2: 0.34281
Valid 26: 0.82829 	 r2: 0.32771
Train 27: 0.83776 	 r2: 0.34387
Valid 27: 0.82809 	 r2: 0.32714
Train 28: 0.83821 	 r2: 0.34462
Valid 28: 0.82788 	 r2: 0.32648
Train 29: 0.83867 	 r2: 0.34529
Valid 29: 0.82732 	 r2: 0.32565
Finish: (0.8283247292905014, 0.32788766481391496)
Test 30: 0.82279 	 r2: 0.31609
Train 1: 0.64310 	 r2: 0.05875
Valid 1: 0.71914 	 r2: 0.13938
Train 2: 0.77831 	 r2: 0.23594
Valid 2: 0.80999 	 r2: 0.29731
Train 3: 0.81020 	 r2: 0.29754
Valid 3: 0.81606 	 r2: 0.30865
Train 4: 0.81502 	 r2: 0.30621
Valid 4: 0.81968 	 r2: 0.31499
Train 5: 0.81827 	 r2: 0.31136
Valid 5: 0.82182 	 r2: 0.31755
Train 6: 0.82080 	 r2: 0.31541
Valid 6: 0.82324 	 r2: 0.31952
Train 7: 0.82297 	 r2: 0.31878
Valid 7: 0.82425 	 r2: 0.32136
Train 8: 0.82461 	 r2: 0.32144
Valid 8: 0.82481 	 r2: 0.32196
Train 9: 0.82607 	 r2: 0.32372
Valid 9: 0.82567 	 r2: 0.32362
Train 10: 0.82728 	 r2: 0.32571
Valid 10: 0.82583 	 r2: 0.32368
Train 11: 0.82843 	 r2: 0.32760
Valid 11: 0.82657 	 r2: 0.32525
Train 12: 0.82941 	 r2: 0.32925
Valid 12: 0.82701 	 r2: 0.32577
Train 13: 0.83034 	 r2: 0.33083
Valid 13: 0.82730 	 r2: 0.32642
Train 14: 0.83118 	 r2: 0.33230
Valid 14: 0.82766 	 r2: 0.32698
Train 15: 0.83199 	 r2: 0.33369
Valid 15: 0.82797 	 r2: 0.32749
Train 16: 0.83273 	 r2: 0.33499
Valid 16: 0.82804 	 r2: 0.32729
Train 17: 0.83356 	 r2: 0.33642
Valid 17: 0.82854 	 r2: 0.32840
Train 18: 0.83410 	 r2: 0.33736
Valid 18: 0.82811 	 r2: 0.32751
Train 19: 0.83491 	 r2: 0.33878
Valid 19: 0.82837 	 r2: 0.32815
Train 20: 0.83552 	 r2: 0.33989
Valid 20: 0.82819 	 r2: 0.32771
Train 21: 0.83623 	 r2: 0.34116
Valid 21: 0.82818 	 r2: 0.32785
Train 22: 0.83676 	 r2: 0.34213
Valid 22: 0.82801 	 r2: 0.32745
Finish: (0.8285351199687063, 0.3283967743287335)
Test 23: 0.82344 	 r2: 0.31899
Train 1: 0.65792 	 r2: 0.07283
Valid 1: 0.71165 	 r2: 0.12970
Train 2: 0.76704 	 r2: 0.21880
Valid 2: 0.80625 	 r2: 0.28976
Train 3: 0.80723 	 r2: 0.29180
Valid 3: 0.81641 	 r2: 0.31027
Train 4: 0.81387 	 r2: 0.30392
Valid 4: 0.82023 	 r2: 0.31720
Train 5: 0.81733 	 r2: 0.30976
Valid 5: 0.82307 	 r2: 0.32178
Train 6: 0.82009 	 r2: 0.31432
Valid 6: 0.82512 	 r2: 0.32464
Train 7: 0.82223 	 r2: 0.31797
Valid 7: 0.82634 	 r2: 0.32631
Train 8: 0.82428 	 r2: 0.32138
Valid 8: 0.82710 	 r2: 0.32756
Train 9: 0.82579 	 r2: 0.32391
Valid 9: 0.82755 	 r2: 0.32807
Train 10: 0.82701 	 r2: 0.32591
Valid 10: 0.82770 	 r2: 0.32814
Train 11: 0.82799 	 r2: 0.32754
Valid 11: 0.82790 	 r2: 0.32861
Train 12: 0.82894 	 r2: 0.32905
Valid 12: 0.82788 	 r2: 0.32861
Train 13: 0.82970 	 r2: 0.33030
Valid 13: 0.82794 	 r2: 0.32889
Train 14: 0.83060 	 r2: 0.33169
