N: 20; d: 20
Train 1: 0.67380 	 r2: 0.07656
Valid 1: 0.71943 	 r2: 0.12128
Train 2: 0.71791 	 r2: 0.11972
Valid 2: 0.72884 	 r2: 0.13095
Train 3: 0.72449 	 r2: 0.12697
Valid 3: 0.73247 	 r2: 0.13487
Train 4: 0.72752 	 r2: 0.13037
Valid 4: 0.73386 	 r2: 0.13680
Train 5: 0.72934 	 r2: 0.13250
Valid 5: 0.73447 	 r2: 0.13759
Train 6: 0.73068 	 r2: 0.13411
Valid 6: 0.73487 	 r2: 0.13825
Train 7: 0.73183 	 r2: 0.13545
Valid 7: 0.73524 	 r2: 0.13870
Train 8: 0.73273 	 r2: 0.13657
Valid 8: 0.73553 	 r2: 0.13916
Train 9: 0.73345 	 r2: 0.13746
Valid 9: 0.73578 	 r2: 0.13959
Train 10: 0.73414 	 r2: 0.13839
Valid 10: 0.73597 	 r2: 0.13983
Train 11: 0.73480 	 r2: 0.13923
Valid 11: 0.73601 	 r2: 0.13990
Train 12: 0.73543 	 r2: 0.14005
Valid 12: 0.73601 	 r2: 0.13976
Train 13: 0.73603 	 r2: 0.14081
Valid 13: 0.73587 	 r2: 0.13958
Train 14: 0.73661 	 r2: 0.14154
Valid 14: 0.73563 	 r2: 0.13940
Train 15: 0.73718 	 r2: 0.14224
Valid 15: 0.73545 	 r2: 0.13920
Train 16: 0.73772 	 r2: 0.14296
Valid 16: 0.73517 	 r2: 0.13874
Train 17: 0.73820 	 r2: 0.14355
Valid 17: 0.73481 	 r2: 0.13839
Finish: (0.7360056901284759, 0.1397581990055594)
Test 18: 0.73354 	 r2: 0.13612
Train 1: 0.67388 	 r2: 0.07713
Valid 1: 0.71969 	 r2: 0.12198
Train 2: 0.71848 	 r2: 0.12036
Valid 2: 0.72994 	 r2: 0.13215
Train 3: 0.72518 	 r2: 0.12767
Valid 3: 0.73306 	 r2: 0.13593
Train 4: 0.72828 	 r2: 0.13121
Valid 4: 0.73436 	 r2: 0.13772
Train 5: 0.73013 	 r2: 0.13343
Valid 5: 0.73501 	 r2: 0.13845
Train 6: 0.73136 	 r2: 0.13496
Valid 6: 0.73546 	 r2: 0.13895
Train 7: 0.73239 	 r2: 0.13631
Valid 7: 0.73586 	 r2: 0.13943
Train 8: 0.73328 	 r2: 0.13746
Valid 8: 0.73614 	 r2: 0.13977
Train 9: 0.73407 	 r2: 0.13853
Valid 9: 0.73627 	 r2: 0.13977
Train 10: 0.73473 	 r2: 0.13938
Valid 10: 0.73640 	 r2: 0.13980
Train 11: 0.73531 	 r2: 0.14012
Valid 11: 0.73637 	 r2: 0.13971
Train 12: 0.73588 	 r2: 0.14084
Valid 12: 0.73651 	 r2: 0.13983
Train 13: 0.73642 	 r2: 0.14154
Valid 13: 0.73628 	 r2: 0.13947
Train 14: 0.73690 	 r2: 0.14214
Valid 14: 0.73628 	 r2: 0.13948
Train 15: 0.73741 	 r2: 0.14279
Valid 15: 0.73628 	 r2: 0.13956
Train 16: 0.73790 	 r2: 0.14346
Valid 16: 0.73617 	 r2: 0.13940
Train 17: 0.73837 	 r2: 0.14407
Valid 17: 0.73597 	 r2: 0.13918
Finish: (0.7365146074377422, 0.1398254626149581)
Test 18: 0.73368 	 r2: 0.13597
Train 1: 0.65602 	 r2: 0.04338
Valid 1: 0.71719 	 r2: 0.11761
Train 2: 0.71820 	 r2: 0.11976
Valid 2: 0.72938 	 r2: 0.13040
Train 3: 0.72458 	 r2: 0.12694
Valid 3: 0.73134 	 r2: 0.13292
Train 4: 0.72720 	 r2: 0.13007
Valid 4: 0.73287 	 r2: 0.13536
Train 5: 0.72901 	 r2: 0.13223
Valid 5: 0.73376 	 r2: 0.13658
Train 6: 0.73025 	 r2: 0.13376
Valid 6: 0.73436 	 r2: 0.13732
Train 7: 0.73124 	 r2: 0.13500
Valid 7: 0.73479 	 r2: 0.13793
Train 8: 0.73207 	 r2: 0.13598
Valid 8: 0.73508 	 r2: 0.13827
Train 9: 0.73283 	 r2: 0.13691
Valid 9: 0.73528 	 r2: 0.13855
Train 10: 0.73354 	 r2: 0.13778
Valid 10: 0.73552 	 r2: 0.13888
Train 11: 0.73416 	 r2: 0.13852
Valid 11: 0.73553 	 r2: 0.13883
Train 12: 0.73478 	 r2: 0.13924
