N: 1; d: 20
Train 1: 0.67284 	 r2: 0.07126
Valid 1: 0.72083 	 r2: 0.12044
Train 2: 0.72068 	 r2: 0.12160
Valid 2: 0.72804 	 r2: 0.12999
Train 3: 0.72621 	 r2: 0.12835
Valid 3: 0.72968 	 r2: 0.13192
Train 4: 0.72909 	 r2: 0.13187
Valid 4: 0.73046 	 r2: 0.13273
Train 5: 0.73116 	 r2: 0.13444
Valid 5: 0.73094 	 r2: 0.13320
Train 6: 0.73286 	 r2: 0.13659
Valid 6: 0.73110 	 r2: 0.13325
Train 7: 0.73432 	 r2: 0.13846
Valid 7: 0.73095 	 r2: 0.13292
Train 8: 0.73561 	 r2: 0.14010
Valid 8: 0.73068 	 r2: 0.13244
Train 9: 0.73673 	 r2: 0.14157
Valid 9: 0.73038 	 r2: 0.13196
Train 10: 0.73784 	 r2: 0.14296
Valid 10: 0.72993 	 r2: 0.13129
Train 11: 0.73887 	 r2: 0.14426
Valid 11: 0.72940 	 r2: 0.13044
Finish: (0.731101948091613, 0.13324528617405662)
Test 12: 0.72870 	 r2: 0.13034
Train 1: 0.67392 	 r2: 0.07239
Valid 1: 0.72083 	 r2: 0.12145
Train 2: 0.72033 	 r2: 0.12089
Valid 2: 0.72778 	 r2: 0.12965
Train 3: 0.72638 	 r2: 0.12842
Valid 3: 0.73010 	 r2: 0.13263
Train 4: 0.72961 	 r2: 0.13244
Valid 4: 0.73091 	 r2: 0.13353
Train 5: 0.73184 	 r2: 0.13527
Valid 5: 0.73115 	 r2: 0.13371
Train 6: 0.73352 	 r2: 0.13745
Valid 6: 0.73105 	 r2: 0.13358
Train 7: 0.73501 	 r2: 0.13937
Valid 7: 0.73079 	 r2: 0.13310
Train 8: 0.73628 	 r2: 0.14102
Valid 8: 0.73041 	 r2: 0.13233
Train 9: 0.73754 	 r2: 0.14264
Valid 9: 0.72989 	 r2: 0.13133
Train 10: 0.73871 	 r2: 0.14413
Valid 10: 0.72941 	 r2: 0.13050
Finish: (0.7311453711518432, 0.13370854931825316)
Test 11: 0.72825 	 r2: 0.13016
Train 1: 0.66979 	 r2: 0.06816
Valid 1: 0.71940 	 r2: 0.11924
Train 2: 0.71980 	 r2: 0.12028
Valid 2: 0.72802 	 r2: 0.12976
Train 3: 0.72625 	 r2: 0.12811
Valid 3: 0.73008 	 r2: 0.13248
Train 4: 0.72939 	 r2: 0.13202
