N: 20; d: 20
Train 1: 0.73921 	 r2: 0.11341
Valid 1: 0.78385 	 r2: 0.17775
Train 2: 0.79208 	 r2: 0.20073
Valid 2: 0.79731 	 r2: 0.20680
Train 3: 0.80008 	 r2: 0.21672
Valid 3: 0.79964 	 r2: 0.21312
Train 4: 0.80318 	 r2: 0.22303
Valid 4: 0.80046 	 r2: 0.21531
Train 5: 0.80530 	 r2: 0.22735
Valid 5: 0.80052 	 r2: 0.21594
Train 6: 0.80701 	 r2: 0.23085
Valid 6: 0.80057 	 r2: 0.21556
Train 7: 0.80840 	 r2: 0.23365
Valid 7: 0.80038 	 r2: 0.21457
Train 8: 0.80936 	 r2: 0.23580
Valid 8: 0.80028 	 r2: 0.21454
Train 9: 0.81042 	 r2: 0.23793
Valid 9: 0.79975 	 r2: 0.21243
Train 10: 0.81161 	 r2: 0.24016
Valid 10: 0.79936 	 r2: 0.21141
Train 11: 0.81261 	 r2: 0.24257
Valid 11: 0.79829 	 r2: 0.20971
Finish: (0.8005653197199627, 0.21555869417162654)
Test 12: 0.80740 	 r2: 0.22656
Train 1: 0.72535 	 r2: 0.05014
Valid 1: 0.77797 	 r2: 0.16646
Train 2: 0.78524 	 r2: 0.18778
Valid 2: 0.79228 	 r2: 0.19514
Train 3: 0.79773 	 r2: 0.21307
Valid 3: 0.79834 	 r2: 0.21008
Train 4: 0.80152 	 r2: 0.22032
Valid 4: 0.80005 	 r2: 0.21480
Train 5: 0.80411 	 r2: 0.22590
Valid 5: 0.80076 	 r2: 0.21656
Train 6: 0.80601 	 r2: 0.22968
Valid 6: 0.80085 	 r2: 0.21600
Train 7: 0.80756 	 r2: 0.23275
Valid 7: 0.80078 	 r2: 0.21546
Train 8: 0.80877 	 r2: 0.23511
Valid 8: 0.80058 	 r2: 0.21392
Train 9: 0.80969 	 r2: 0.23713
Valid 9: 0.80007 	 r2: 0.21240
Train 10: 0.81073 	 r2: 0.23926
Valid 10: 0.79895 	 r2: 0.20954
Train 11: 0.81177 	 r2: 0.24153
Valid 11: 0.79885 	 r2: 0.20906
Finish: (0.8008545908968303, 0.21600469639656217)
Test 12: 0.80705 	 r2: 0.22447
Train 1: 0.74068 	 r2: 0.11451
Valid 1: 0.78106 	 r2: 0.17017
Train 2: 0.79079 	 r2: 0.19864
Valid 2: 0.79602 	 r2: 0.20585
Train 3: 0.80009 	 r2: 0.21696
Valid 3: 0.79906 	 r2: 0.21347
Train 4: 0.80324 	 r2: 0.22304
Valid 4: 0.80001 	 r2: 0.21499
Train 5: 0.80539 	 r2: 0.22736
Valid 5: 0.80028 	 r2: 0.21528
Train 6: 0.80712 	 r2: 0.23073
Valid 6: 0.80014 	 r2: 0.21522
Train 7: 0.80808 	 r2: 0.23293
Valid 7: 0.79996 	 r2: 0.21493
Train 8: 0.80958 	 r2: 0.23596
Valid 8: 0.79924 	 r2: 0.21283
Train 9: 0.81083 	 r2: 0.23844
Valid 9: 0.79882 	 r2: 0.21184
Train 10: 0.81191 	 r2: 0.24072
Valid 10: 0.79852 	 r2: 0.21146
Finish: (0.8002790144347279, 0.21527733313541197)
Test 11: 0.80732 	 r2: 0.22671
Train 1: 0.72795 	 r2: 0.06373
