N: 20; d: 20
Train 1: 0.74448 	 r2: 0.12693
Valid 1: 0.77210 	 r2: 0.16184
Train 2: 0.77821 	 r2: 0.18200
Valid 2: 0.78286 	 r2: 0.18354
Train 3: 0.78694 	 r2: 0.19799
Valid 3: 0.78662 	 r2: 0.18849
Train 4: 0.79147 	 r2: 0.20603
Valid 4: 0.78855 	 r2: 0.19024
Train 5: 0.79484 	 r2: 0.21188
Valid 5: 0.78981 	 r2: 0.19064
Train 6: 0.79778 	 r2: 0.21659
Valid 6: 0.79052 	 r2: 0.19162
Train 7: 0.79994 	 r2: 0.22026
Valid 7: 0.79065 	 r2: 0.19129
Train 8: 0.80162 	 r2: 0.22320
Valid 8: 0.79086 	 r2: 0.19101
Train 9: 0.80294 	 r2: 0.22577
Valid 9: 0.79056 	 r2: 0.19043
Train 10: 0.80425 	 r2: 0.22796
Valid 10: 0.79038 	 r2: 0.19068
Train 11: 0.80519 	 r2: 0.22999
Valid 11: 0.79008 	 r2: 0.19027
Train 12: 0.80619 	 r2: 0.23183
Valid 12: 0.79019 	 r2: 0.18901
Train 13: 0.80715 	 r2: 0.23368
Valid 13: 0.78957 	 r2: 0.18793
Finish: (0.7908640222277566, 0.19101483284714704)
Test 14: 0.79846 	 r2: 0.20519
Train 1: 0.73598 	 r2: 0.11769
Valid 1: 0.76944 	 r2: 0.15956
Train 2: 0.77475 	 r2: 0.17786
Valid 2: 0.77864 	 r2: 0.18039
Train 3: 0.78213 	 r2: 0.19260
Valid 3: 0.78249 	 r2: 0.18552
Train 4: 0.78604 	 r2: 0.19931
Valid 4: 0.78477 	 r2: 0.18776
Train 5: 0.78920 	 r2: 0.20451
Valid 5: 0.78647 	 r2: 0.18883
Train 6: 0.79221 	 r2: 0.20914
Valid 6: 0.78771 	 r2: 0.18842
Train 7: 0.79472 	 r2: 0.21326
Valid 7: 0.78850 	 r2: 0.18870
Train 8: 0.79690 	 r2: 0.21662
Valid 8: 0.78945 	 r2: 0.18893
Train 9: 0.79870 	 r2: 0.21956
Valid 9: 0.79051 	 r2: 0.18907
Train 10: 0.80037 	 r2: 0.22225
Valid 10: 0.79085 	 r2: 0.19056
Train 11: 0.80181 	 r2: 0.22484
Valid 11: 0.79107 	 r2: 0.18856
Train 12: 0.80309 	 r2: 0.22697
Valid 12: 0.79107 	 r2: 0.18951
Train 13: 0.80410 	 r2: 0.22896
Valid 13: 0.79078 	 r2: 0.18860
Train 14: 0.80511 	 r2: 0.23083
Valid 14: 0.79045 	 r2: 0.18563
Train 15: 0.80590 	 r2: 0.23244
Valid 15: 0.79019 	 r2: 0.18594
Train 16: 0.80679 	 r2: 0.23428
Valid 16: 0.78978 	 r2: 0.18310
Train 17: 0.80746 	 r2: 0.23577
Valid 17: 0.78967 	 r2: 0.18321
Finish: (0.7910726549521937, 0.18950775155441824)
Test 18: 0.79915 	 r2: 0.20515
Train 1: 0.73899 	 r2: 0.12137
Valid 1: 0.77063 	 r2: 0.16077
Train 2: 0.77575 	 r2: 0.17841
Valid 2: 0.78044 	 r2: 0.18158
Train 3: 0.78340 	 r2: 0.19337
Valid 3: 0.78374 	 r2: 0.18572
Train 4: 0.78775 	 r2: 0.20082
Valid 4: 0.78589 	 r2: 0.18794
Train 5: 0.79132 	 r2: 0.20673
Valid 5: 0.78779 	 r2: 0.19031
Train 6: 0.79451 	 r2: 0.21182
Valid 6: 0.78955 	 r2: 0.19123
Train 7: 0.79691 	 r2: 0.21576
Valid 7: 0.79049 	 r2: 0.19224
Train 8: 0.79878 	 r2: 0.21888
Valid 8: 0.79069 	 r2: 0.19133
Train 9: 0.80014 	 r2: 0.22135
Valid 9: 0.79080 	 r2: 0.19132
Train 10: 0.80142 	 r2: 0.22361
Valid 10: 0.79134 	 r2: 0.19235
Train 11: 0.80252 	 r2: 0.22578
Valid 11: 0.79124 	 r2: 0.19096
Train 12: 0.80350 	 r2: 0.22785
Valid 12: 0.79095 	 r2: 0.19092
Train 13: 0.80446 	 r2: 0.22974
Valid 13: 0.79072 	 r2: 0.18957
Train 14: 0.80546 	 r2: 0.23171
Valid 14: 0.79033 	 r2: 0.18847
Train 15: 0.80613 	 r2: 0.23326
Valid 15: 0.79001 	 r2: 0.18864
Finish: (0.7913401782765037, 0.19234921320707687)
Test 16: 0.79910 	 r2: 0.20612
