N: 20; d: 20
Train 1: 0.72586 	 r2: 0.10413
Valid 1: 0.77351 	 r2: 0.16562
Train 2: 0.78171 	 r2: 0.18596
Valid 2: 0.78623 	 r2: 0.18987
Train 3: 0.79161 	 r2: 0.20434
Valid 3: 0.79304 	 r2: 0.20026
Train 4: 0.79733 	 r2: 0.21376
Valid 4: 0.79635 	 r2: 0.20632
Train 5: 0.80097 	 r2: 0.22056
Valid 5: 0.79799 	 r2: 0.20945
Train 6: 0.80364 	 r2: 0.22539
Valid 6: 0.79914 	 r2: 0.21147
Train 7: 0.80545 	 r2: 0.22881
Valid 7: 0.80015 	 r2: 0.21211
Train 8: 0.80688 	 r2: 0.23138
Valid 8: 0.80035 	 r2: 0.21259
Train 9: 0.80800 	 r2: 0.23349
Valid 9: 0.80067 	 r2: 0.21273
Train 10: 0.80897 	 r2: 0.23542
Valid 10: 0.80068 	 r2: 0.21176
Train 11: 0.80985 	 r2: 0.23707
Valid 11: 0.80058 	 r2: 0.21132
Train 12: 0.81061 	 r2: 0.23852
Valid 12: 0.80021 	 r2: 0.21062
Train 13: 0.81136 	 r2: 0.24007
Valid 13: 0.80003 	 r2: 0.20951
Train 14: 0.81202 	 r2: 0.24129
Valid 14: 0.79981 	 r2: 0.20899
Train 15: 0.81250 	 r2: 0.24229
Valid 15: 0.79981 	 r2: 0.20951
Finish: (0.8006758941274098, 0.2117603375147098)
Test 16: 0.80747 	 r2: 0.22762
Train 1: 0.68170 	 r2: -0.05329
Valid 1: 0.76751 	 r2: 0.15184
Train 2: 0.77965 	 r2: 0.18128
Valid 2: 0.78692 	 r2: 0.18968
Train 3: 0.79086 	 r2: 0.20344
Valid 3: 0.79169 	 r2: 0.19981
Train 4: 0.79629 	 r2: 0.21278
Valid 4: 0.79444 	 r2: 0.20499
Train 5: 0.79992 	 r2: 0.21856
Valid 5: 0.79663 	 r2: 0.20839
Train 6: 0.80255 	 r2: 0.22288
Valid 6: 0.79803 	 r2: 0.20962
Train 7: 0.80431 	 r2: 0.22600
Valid 7: 0.79885 	 r2: 0.21099
Train 8: 0.80566 	 r2: 0.22863
Valid 8: 0.79918 	 r2: 0.21104
Train 9: 0.80682 	 r2: 0.23080
Valid 9: 0.79934 	 r2: 0.21133
Train 10: 0.80777 	 r2: 0.23266
Valid 10: 0.79939 	 r2: 0.21146
Train 11: 0.80874 	 r2: 0.23445
Valid 11: 0.79943 	 r2: 0.21140
Train 12: 0.80948 	 r2: 0.23590
Valid 12: 0.79939 	 r2: 0.21020
Train 13: 0.81012 	 r2: 0.23720
Valid 13: 0.79918 	 r2: 0.21034
Train 14: 0.81084 	 r2: 0.23866
Valid 14: 0.79919 	 r2: 0.20944
Train 15: 0.81148 	 r2: 0.24009
Valid 15: 0.79887 	 r2: 0.20837
Train 16: 0.81208 	 r2: 0.24147
Valid 16: 0.79866 	 r2: 0.20702
Finish: (0.799434936493494, 0.2113987269346954)
Test 17: 0.80629 	 r2: 0.22716
Train 1: 0.71447 	 r2: 0.07983
Valid 1: 0.77507 	 r2: 0.16611
Train 2: 0.78226 	 r2: 0.18612
Valid 2: 0.78721 	 r2: 0.19201
Train 3: 0.79165 	 r2: 0.20501
Valid 3: 0.79225 	 r2: 0.20141
Train 4: 0.79707 	 r2: 0.21393
Valid 4: 0.79558 	 r2: 0.20700
Train 5: 0.80061 	 r2: 0.21944
Valid 5: 0.79721 	 r2: 0.20963
Train 6: 0.80278 	 r2: 0.22330
Valid 6: 0.79802 	 r2: 0.21049
Train 7: 0.80440 	 r2: 0.22616
Valid 7: 0.79856 	 r2: 0.21113
Train 8: 0.80574 	 r2: 0.22854
Valid 8: 0.79878 	 r2: 0.21062
Train 9: 0.80685 	 r2: 0.23068
Valid 9: 0.79928 	 r2: 0.21160
Train 10: 0.80793 	 r2: 0.23274
Valid 10: 0.79949 	 r2: 0.21159
Train 11: 0.80883 	 r2: 0.23455
Valid 11: 0.79965 	 r2: 0.21177
Train 12: 0.80958 	 r2: 0.23624
Valid 12: 0.79939 	 r2: 0.21001
Train 13: 0.81028 	 r2: 0.23766
Valid 13: 0.79916 	 r2: 0.20981
Train 14: 0.81088 	 r2: 0.23914
Valid 14: 0.79913 	 r2: 0.20889
Train 15: 0.81151 	 r2: 0.24057
Valid 15: 0.79883 	 r2: 0.20859
Train 16: 0.81200 	 r2: 0.24162
Valid 16: 0.79887 	 r2: 0.20794
Finish: (0.7996473175072074, 0.21176689999868625)
Test 17: 0.80689 	 r2: 0.22688
Train 1: 0.69809 	 r2: 0.02534
Valid 1: 0.77425 	 r2: 0.16152
Train 2: 0.78016 	 r2: 0.18243
Valid 2: 0.78577 	 r2: 0.19014
Train 3: 0.78886 	 r2: 0.20107
Valid 3: 0.78950 	 r2: 0.19816
Train 4: 0.79337 	 r2: 0.20909
Valid 4: 0.79297 	 r2: 0.20359
Train 5: 0.79742 	 r2: 0.21539
Valid 5: 0.79571 	 r2: 0.20677
Train 6: 0.80048 	 r2: 0.22031
Valid 6: 0.79719 	 r2: 0.20872
Train 7: 0.80267 	 r2: 0.22405
Valid 7: 0.79836 	 r2: 0.21037
Train 8: 0.80430 	 r2: 0.22696
Valid 8: 0.79912 	 r2: 0.21155
Train 9: 0.80575 	 r2: 0.22954
Valid 9: 0.79979 	 r2: 0.21245
Train 10: 0.80689 	 r2: 0.23165
Valid 10: 0.79984 	 r2: 0.21197
Train 11: 0.80794 	 r2: 0.23370
Valid 11: 0.79991 	 r2: 0.21127
Train 12: 0.80873 	 r2: 0.23532
Valid 12: 0.79990 	 r2: 0.21202
Train 13: 0.80951 	 r2: 0.23683
Valid 13: 0.79980 	 r2: 0.21119
Train 14: 0.81024 	 r2: 0.23826
Valid 14: 0.79966 	 r2: 0.21169
Train 15: 0.81086 	 r2: 0.23962
Valid 15: 0.79941 	 r2: 0.20982
Train 16: 0.81145 	 r2: 0.24076
Valid 16: 0.79959 	 r2: 0.21041
Finish: (0.7999117152797748, 0.211268640090422)
Test 17: 0.80634 	 r2: 0.22410
Train 1: 0.73358 	 r2: 0.11289
Valid 1: 0.77691 	 r2: 0.17049
Train 2: 0.78218 	 r2: 0.18715
Valid 2: 0.78684 	 r2: 0.19173
Train 3: 0.79159 	 r2: 0.20500
Valid 3: 0.79248 	 r2: 0.20122
Train 4: 0.79671 	 r2: 0.21343
Valid 4: 0.79556 	 r2: 0.20630
Train 5: 0.79969 	 r2: 0.21846
Valid 5: 0.79699 	 r2: 0.20861
Train 6: 0.80206 	 r2: 0.22244
Valid 6: 0.79801 	 r2: 0.21038
Train 7: 0.80384 	 r2: 0.22575
Valid 7: 0.79864 	 r2: 0.21108
Train 8: 0.80522 	 r2: 0.22822
Valid 8: 0.79891 	 r2: 0.21123
Train 9: 0.80646 	 r2: 0.23053
Valid 9: 0.79928 	 r2: 0.21182
Train 10: 0.80742 	 r2: 0.23231
Valid 10: 0.79923 	 r2: 0.21080
Train 11: 0.80824 	 r2: 0.23398
Valid 11: 0.79954 	 r2: 0.21189
Train 12: 0.80910 	 r2: 0.23566
Valid 12: 0.79935 	 r2: 0.21064
Train 13: 0.80980 	 r2: 0.23712
Valid 13: 0.79917 	 r2: 0.21092
Train 14: 0.81042 	 r2: 0.23833
Valid 14: 0.79891 	 r2: 0.20949
Train 15: 0.81115 	 r2: 0.23972
Valid 15: 0.79872 	 r2: 0.20917
Train 16: 0.81167 	 r2: 0.24076
Valid 16: 0.79822 	 r2: 0.20591
Finish: (0.7995412712624101, 0.21188774843301805)
Test 17: 0.80705 	 r2: 0.22716
Train 1: 0.73199 	 r2: 0.11167
Valid 1: 0.77685 	 r2: 0.17076
Train 2: 0.78256 	 r2: 0.18810
Valid 2: 0.78579 	 r2: 0.19059
Train 3: 0.78972 	 r2: 0.20307
Valid 3: 0.79020 	 r2: 0.19830
Train 4: 0.79467 	 r2: 0.21066
Valid 4: 0.79367 	 r2: 0.20311
Train 5: 0.79843 	 r2: 0.21665
Valid 5: 0.79595 	 r2: 0.20713
Train 6: 0.80134 	 r2: 0.22155
Valid 6: 0.79775 	 r2: 0.20992
Train 7: 0.80350 	 r2: 0.22530
Valid 7: 0.79860 	 r2: 0.21134
Train 8: 0.80510 	 r2: 0.22809
Valid 8: 0.79935 	 r2: 0.21226
Train 9: 0.80655 	 r2: 0.23069
Valid 9: 0.79991 	 r2: 0.21336
Train 10: 0.80770 	 r2: 0.23271
Valid 10: 0.79992 	 r2: 0.21341
Train 11: 0.80871 	 r2: 0.23453
Valid 11: 0.80011 	 r2: 0.21355
Train 12: 0.80969 	 r2: 0.23644
Valid 12: 0.80006 	 r2: 0.21328
Train 13: 0.81061 	 r2: 0.23816
Valid 13: 0.79990 	 r2: 0.21304
Train 14: 0.81124 	 r2: 0.23958
Valid 14: 0.79976 	 r2: 0.21260
Train 15: 0.81192 	 r2: 0.24094
Valid 15: 0.79939 	 r2: 0.21094
Train 16: 0.81252 	 r2: 0.24226
Valid 16: 0.79908 	 r2: 0.21089
Finish: (0.8001061629923082, 0.21355180437224552)
Test 17: 0.80707 	 r2: 0.22747
N: 20; d: 40
Train 1: 0.72791 	 r2: 0.09160
Valid 1: 0.77932 	 r2: 0.17477
Train 2: 0.78501 	 r2: 0.19292
Valid 2: 0.78909 	 r2: 0.19421
Train 3: 0.79485 	 r2: 0.21000
Valid 3: 0.79488 	 r2: 0.20460
Train 4: 0.80005 	 r2: 0.21880
Valid 4: 0.79747 	 r2: 0.20861
Train 5: 0.80327 	 r2: 0.22445
Valid 5: 0.79905 	 r2: 0.21086
Train 6: 0.80559 	 r2: 0.22881
Valid 6: 0.79987 	 r2: 0.21119
Train 7: 0.80722 	 r2: 0.23211
Valid 7: 0.80060 	 r2: 0.21283
Train 8: 0.80862 	 r2: 0.23496
Valid 8: 0.80047 	 r2: 0.21232
Train 9: 0.80984 	 r2: 0.23734
Valid 9: 0.80034 	 r2: 0.21191
Train 10: 0.81082 	 r2: 0.23935
Valid 10: 0.79993 	 r2: 0.21178
Train 11: 0.81178 	 r2: 0.24133
