N: 20; d: 20
Train 1: 0.73755 	 r2: 0.10424
Valid 1: 0.77655 	 r2: 0.16394
Train 2: 0.78756 	 r2: 0.19244
Valid 2: 0.79539 	 r2: 0.20565
Train 3: 0.79921 	 r2: 0.21545
Valid 3: 0.79893 	 r2: 0.21278
Train 4: 0.80260 	 r2: 0.22180
Valid 4: 0.79973 	 r2: 0.21397
Train 5: 0.80465 	 r2: 0.22604
Valid 5: 0.79964 	 r2: 0.21365
Train 6: 0.80636 	 r2: 0.22935
Valid 6: 0.79936 	 r2: 0.21206
Train 7: 0.80758 	 r2: 0.23207
Valid 7: 0.79902 	 r2: 0.21095
Train 8: 0.80874 	 r2: 0.23453
Valid 8: 0.79862 	 r2: 0.21018
Train 9: 0.80971 	 r2: 0.23651
Valid 9: 0.79880 	 r2: 0.20968
Finish: (0.7997253841066314, 0.21396553270443497)
Test 10: 0.80590 	 r2: 0.22425
Train 1: 0.73810 	 r2: 0.09309
Valid 1: 0.77641 	 r2: 0.16329
Train 2: 0.78614 	 r2: 0.18944
Valid 2: 0.79467 	 r2: 0.20090
Train 3: 0.79905 	 r2: 0.21497
Valid 3: 0.79867 	 r2: 0.21200
Train 4: 0.80297 	 r2: 0.22275
Valid 4: 0.79958 	 r2: 0.21433
Train 5: 0.80508 	 r2: 0.22725
Valid 5: 0.79948 	 r2: 0.21422
Train 6: 0.80687 	 r2: 0.23082
Valid 6: 0.79908 	 r2: 0.21311
Train 7: 0.80788 	 r2: 0.23319
Valid 7: 0.79902 	 r2: 0.21116
Train 8: 0.80903 	 r2: 0.23573
Valid 8: 0.79845 	 r2: 0.20906
Train 9: 0.81006 	 r2: 0.23801
Valid 9: 0.79780 	 r2: 0.20724
Finish: (0.7995757840984974, 0.21432708191893823)
Test 10: 0.80594 	 r2: 0.22376
Train 1: 0.71315 	 r2: -0.02563
Valid 1: 0.77570 	 r2: 0.16151
Train 2: 0.78189 	 r2: 0.18064
Valid 2: 0.78920 	 r2: 0.18389
Train 3: 0.79604 	 r2: 0.20940
Valid 3: 0.79764 	 r2: 0.20953
Train 4: 0.80133 	 r2: 0.21952
Valid 4: 0.79915 	 r2: 0.21373
Train 5: 0.80341 	 r2: 0.22384
Valid 5: 0.79970 	 r2: 0.21486
Train 6: 0.80514 	 r2: 0.22752
Valid 6: 0.79967 	 r2: 0.21457
Train 7: 0.80649 	 r2: 0.23043
Valid 7: 0.79927 	 r2: 0.21338
Train 8: 0.80774 	 r2: 0.23331
Valid 8: 0.79923 	 r2: 0.21193
Train 9: 0.80873 	 r2: 0.23561
Valid 9: 0.79847 	 r2: 0.21047
Train 10: 0.80976 	 r2: 0.23786
Valid 10: 0.79819 	 r2: 0.21044
Finish: (0.7996970686070674, 0.2148627467066866)
Test 11: 0.80566 	 r2: 0.22487
Train 1: 0.75613 	 r2: 0.13866
Valid 1: 0.78477 	 r2: 0.17601
Train 2: 0.79297 	 r2: 0.20202
Valid 2: 0.79683 	 r2: 0.20724
Train 3: 0.80128 	 r2: 0.21868
Valid 3: 0.79891 	 r2: 0.21188
Train 4: 0.80415 	 r2: 0.22441
Valid 4: 0.79974 	 r2: 0.21406
Train 5: 0.80619 	 r2: 0.22858
Valid 5: 0.79987 	 r2: 0.21463
Train 6: 0.80777 	 r2: 0.23185
Valid 6: 0.79989 	 r2: 0.21361
Train 7: 0.80909 	 r2: 0.23462
Valid 7: 0.79967 	 r2: 0.21296
Train 8: 0.81028 	 r2: 0.23709
Valid 8: 0.79933 	 r2: 0.21137
Train 9: 0.81137 	 r2: 0.23924
Valid 9: 0.79863 	 r2: 0.21033
Train 10: 0.81219 	 r2: 0.24125
Valid 10: 0.79762 	 r2: 0.20845
Train 11: 0.81309 	 r2: 0.24318
Valid 11: 0.79706 	 r2: 0.20722
Finish: (0.7998855914780789, 0.2136079375247305)
Test 12: 0.80686 	 r2: 0.22478
Train 1: 0.71808 	 r2: 0.00401
Valid 1: 0.77383 	 r2: 0.16045
Train 2: 0.78260 	 r2: 0.18320
Valid 2: 0.79061 	 r2: 0.18948
Train 3: 0.79711 	 r2: 0.21173
Valid 3: 0.79874 	 r2: 0.21175
Train 4: 0.80249 	 r2: 0.22170
Valid 4: 0.79984 	 r2: 0.21377
Train 5: 0.80495 	 r2: 0.22651
Valid 5: 0.79992 	 r2: 0.21378
Train 6: 0.80647 	 r2: 0.22961
Valid 6: 0.79998 	 r2: 0.21342
Train 7: 0.80790 	 r2: 0.23239
Valid 7: 0.79964 	 r2: 0.21257
Train 8: 0.80875 	 r2: 0.23429
Valid 8: 0.79953 	 r2: 0.21195
Train 9: 0.80984 	 r2: 0.23670
Valid 9: 0.79870 	 r2: 0.21047
Train 10: 0.81043 	 r2: 0.23809
Valid 10: 0.79843 	 r2: 0.21042
Train 11: 0.81136 	 r2: 0.24027
Valid 11: 0.79710 	 r2: 0.20755
Finish: (0.7999841155229772, 0.21342157551452978)
Test 12: 0.80664 	 r2: 0.22680
Train 1: 0.75592 	 r2: 0.13841
Valid 1: 0.77989 	 r2: 0.16846
Train 2: 0.79111 	 r2: 0.19835
Valid 2: 0.79677 	 r2: 0.20643
Train 3: 0.80108 	 r2: 0.21834
Valid 3: 0.79958 	 r2: 0.21304
Train 4: 0.80456 	 r2: 0.22486
Valid 4: 0.80037 	 r2: 0.21468
Train 5: 0.80662 	 r2: 0.22905
Valid 5: 0.80034 	 r2: 0.21411
Train 6: 0.80834 	 r2: 0.23263
Valid 6: 0.79954 	 r2: 0.21216
Train 7: 0.80943 	 r2: 0.23508
Valid 7: 0.79910 	 r2: 0.21119
Train 8: 0.81065 	 r2: 0.23777
Valid 8: 0.79826 	 r2: 0.20792
Train 9: 0.81134 	 r2: 0.23942
Valid 9: 0.79831 	 r2: 0.20905
Finish: (0.8003674210772185, 0.21467780418354)
Test 10: 0.80687 	 r2: 0.22624
N: 20; d: 40
Train 1: 0.72890 	 r2: 0.03883
Valid 1: 0.77801 	 r2: 0.16606
Train 2: 0.78975 	 r2: 0.19536
Valid 2: 0.79720 	 r2: 0.20854
Train 3: 0.80104 	 r2: 0.21828
Valid 3: 0.79900 	 r2: 0.21083
Train 4: 0.80415 	 r2: 0.22487
Valid 4: 0.79962 	 r2: 0.21263
Train 5: 0.80635 	 r2: 0.22960
Valid 5: 0.79966 	 r2: 0.21286
Train 6: 0.80831 	 r2: 0.23366
Valid 6: 0.79965 	 r2: 0.21180
