N: 1; d: 20
Train 1: 0.70109 	 r2: 0.03919
Valid 1: 0.75846 	 r2: 0.12995
Train 2: 0.76750 	 r2: 0.15301
Valid 2: 0.77191 	 r2: 0.15512
Train 3: 0.77974 	 r2: 0.17437
Valid 3: 0.78236 	 r2: 0.17265
Train 4: 0.78824 	 r2: 0.19194
Valid 4: 0.78702 	 r2: 0.18395
Train 5: 0.79384 	 r2: 0.20438
Valid 5: 0.78933 	 r2: 0.18988
Train 6: 0.79792 	 r2: 0.21285
Valid 6: 0.79085 	 r2: 0.19347
Train 7: 0.80097 	 r2: 0.21917
Valid 7: 0.79088 	 r2: 0.19357
Train 8: 0.80334 	 r2: 0.22392
Valid 8: 0.79094 	 r2: 0.19357
Train 9: 0.80552 	 r2: 0.22839
Valid 9: 0.79062 	 r2: 0.19336
Train 10: 0.80717 	 r2: 0.23204
Valid 10: 0.79067 	 r2: 0.19279
Train 11: 0.80876 	 r2: 0.23522
Valid 11: 0.79019 	 r2: 0.19196
Train 12: 0.81032 	 r2: 0.23854
Valid 12: 0.78992 	 r2: 0.19029
Train 13: 0.81167 	 r2: 0.24148
Valid 13: 0.78887 	 r2: 0.18843
Finish: (0.7909381981690476, 0.19357324524753872)
Test 14: 0.79881 	 r2: 0.20872
Train 1: 0.69639 	 r2: 0.03046
Valid 1: 0.75583 	 r2: 0.12832
Train 2: 0.76744 	 r2: 0.15214
Valid 2: 0.77298 	 r2: 0.15365
Train 3: 0.78056 	 r2: 0.17461
Valid 3: 0.78242 	 r2: 0.17279
Train 4: 0.78867 	 r2: 0.19165
Valid 4: 0.78702 	 r2: 0.18275
Train 5: 0.79426 	 r2: 0.20368
Valid 5: 0.78987 	 r2: 0.18914
Train 6: 0.79820 	 r2: 0.21177
Valid 6: 0.79107 	 r2: 0.19251
Train 7: 0.80139 	 r2: 0.21813
Valid 7: 0.79150 	 r2: 0.19393
Train 8: 0.80389 	 r2: 0.22351
Valid 8: 0.79169 	 r2: 0.19458
Train 9: 0.80596 	 r2: 0.22808
Valid 9: 0.79179 	 r2: 0.19485
Train 10: 0.80777 	 r2: 0.23211
Valid 10: 0.79092 	 r2: 0.19318
Train 11: 0.80928 	 r2: 0.23544
Valid 11: 0.79106 	 r2: 0.19279
Train 12: 0.81060 	 r2: 0.23815
Valid 12: 0.79019 	 r2: 0.19150
Train 13: 0.81221 	 r2: 0.24163
Valid 13: 0.78940 	 r2: 0.18989
Train 14: 0.81349 	 r2: 0.24428
Valid 14: 0.78839 	 r2: 0.18758
Finish: (0.7917857165647699, 0.1948504126735633)
Test 15: 0.79957 	 r2: 0.21094
Train 1: 0.69775 	 r2: 0.03210
Valid 1: 0.75752 	 r2: 0.13087
Train 2: 0.76754 	 r2: 0.15299
Valid 2: 0.77241 	 r2: 0.15514
Train 3: 0.77829 	 r2: 0.17167
Valid 3: 0.78085 	 r2: 0.16859
Train 4: 0.78659 	 r2: 0.18771
