N: 20; d: 20
Train 1: 0.54385 	 r2: -0.34695
Valid 1: 0.73861 	 r2: 0.02018
Train 2: 0.75882 	 r2: 0.12596
Valid 2: 0.75895 	 r2: 0.15747
Train 3: 0.79021 	 r2: 0.20492
Valid 3: 0.76204 	 r2: 0.16493
Train 4: 0.79572 	 r2: 0.21351
Valid 4: 0.76637 	 r2: 0.17438
Train 5: 0.80317 	 r2: 0.22507
Valid 5: 0.77609 	 r2: 0.18601
Train 6: 0.81420 	 r2: 0.24096
Valid 6: 0.79087 	 r2: 0.20406
Train 7: 0.82587 	 r2: 0.25826
Valid 7: 0.80525 	 r2: 0.21989
Train 8: 0.83479 	 r2: 0.27314
Valid 8: 0.81338 	 r2: 0.23618
Train 9: 0.84123 	 r2: 0.28589
Valid 9: 0.81817 	 r2: 0.24847
Train 10: 0.84654 	 r2: 0.29729
Valid 10: 0.81959 	 r2: 0.25088
Train 11: 0.84914 	 r2: 0.30316
Valid 11: 0.82018 	 r2: 0.25130
Train 12: 0.85104 	 r2: 0.30742
Valid 12: 0.82007 	 r2: 0.25010
Train 13: 0.85189 	 r2: 0.30947
Valid 13: 0.81891 	 r2: 0.24906
Train 14: 0.85174 	 r2: 0.30876
Valid 14: 0.81586 	 r2: 0.24441
Train 15: 0.85260 	 r2: 0.31115
Valid 15: 0.81629 	 r2: 0.24512
Train 16: 0.85379 	 r2: 0.31375
Valid 16: 0.81587 	 r2: 0.24234
Finish: (0.8201796771067328, 0.25129873530239344)
Test 17: 0.83374 	 r2: 0.26791
Train 1: 0.66985 	 r2: 0.05072
Valid 1: 0.75630 	 r2: 0.12934
Train 2: 0.78208 	 r2: 0.18557
Valid 2: 0.76316 	 r2: 0.15723
Train 3: 0.79787 	 r2: 0.21606
Valid 3: 0.77757 	 r2: 0.17599
Train 4: 0.81560 	 r2: 0.24177
Valid 4: 0.80337 	 r2: 0.21896
Train 5: 0.83052 	 r2: 0.26618
Valid 5: 0.81236 	 r2: 0.23716
Train 6: 0.83791 	 r2: 0.27873
Valid 6: 0.81629 	 r2: 0.24434
Train 7: 0.84158 	 r2: 0.28574
Valid 7: 0.81715 	 r2: 0.24540
Train 8: 0.84363 	 r2: 0.28999
Valid 8: 0.81855 	 r2: 0.24886
Train 9: 0.84638 	 r2: 0.29544
Valid 9: 0.81952 	 r2: 0.25073
Train 10: 0.84954 	 r2: 0.30191
Valid 10: 0.82002 	 r2: 0.25197
Train 11: 0.85211 	 r2: 0.30768
Valid 11: 0.81914 	 r2: 0.24875
Train 12: 0.85349 	 r2: 0.31101
Valid 12: 0.81951 	 r2: 0.24908
Train 13: 0.85618 	 r2: 0.31681
Valid 13: 0.81906 	 r2: 0.24951
Train 14: 0.85744 	 r2: 0.31968
Valid 14: 0.81907 	 r2: 0.24940
Train 15: 0.85790 	 r2: 0.32140
Valid 15: 0.81680 	 r2: 0.23522
Finish: (0.8200150596727092, 0.2519699507899147)
Test 16: 0.83242 	 r2: 0.26542
Train 1: 0.58920 	 r2: -0.05335
Valid 1: 0.75456 	 r2: 0.12537
Train 2: 0.77986 	 r2: 0.18820
Valid 2: 0.76147 	 r2: 0.16139
Train 3: 0.79369 	 r2: 0.21073
Valid 3: 0.76719 	 r2: 0.17677
Train 4: 0.80414 	 r2: 0.22647
Valid 4: 0.78057 	 r2: 0.19247
Train 5: 0.81905 	 r2: 0.24840
Valid 5: 0.80012 	 r2: 0.21354
Train 6: 0.83285 	 r2: 0.26932
Valid 6: 0.81577 	 r2: 0.24362
Train 7: 0.83927 	 r2: 0.28087
Valid 7: 0.81818 	 r2: 0.24831
Train 8: 0.84336 	 r2: 0.28866
Valid 8: 0.82002 	 r2: 0.25212
Train 9: 0.84613 	 r2: 0.29443
Valid 9: 0.82116 	 r2: 0.25436
Train 10: 0.84863 	 r2: 0.29984
Valid 10: 0.82184 	 r2: 0.25566
Train 11: 0.85055 	 r2: 0.30441
Valid 11: 0.82203 	 r2: 0.25569
Train 12: 0.85229 	 r2: 0.30866
Valid 12: 0.82220 	 r2: 0.25564
Train 13: 0.85351 	 r2: 0.31179
Valid 13: 0.82210 	 r2: 0.25591
Train 14: 0.85416 	 r2: 0.31346
Valid 14: 0.82151 	 r2: 0.25274
Train 15: 0.85459 	 r2: 0.31479
Valid 15: 0.81925 	 r2: 0.24426
Train 16: 0.85275 	 r2: 0.31054
Valid 16: 0.81774 	 r2: 0.24827
Train 17: 0.85636 	 r2: 0.31888
Valid 17: 0.82011 	 r2: 0.25291
Finish: (0.8221976756191279, 0.2556351447336209)
Test 18: 0.83326 	 r2: 0.26718
Train 1: 0.69296 	 r2: 0.06539
Valid 1: 0.75698 	 r2: 0.12521
Train 2: 0.78580 	 r2: 0.19567
Valid 2: 0.76581 	 r2: 0.16554
