N: 20; d: 20
Train 1: 0.70395 	 r2: 0.09663
Valid 1: 0.76614 	 r2: 0.16816
Train 2: 0.81116 	 r2: 0.23334
Valid 2: 0.79203 	 r2: 0.20884
Train 3: 0.82514 	 r2: 0.25868
Valid 3: 0.79645 	 r2: 0.21366
Train 4: 0.83043 	 r2: 0.26868
Valid 4: 0.80005 	 r2: 0.21627
Train 5: 0.83456 	 r2: 0.27607
Valid 5: 0.80328 	 r2: 0.21999
Train 6: 0.83841 	 r2: 0.28315
Valid 6: 0.80605 	 r2: 0.22318
Train 7: 0.84229 	 r2: 0.29051
Valid 7: 0.80914 	 r2: 0.22824
Train 8: 0.84641 	 r2: 0.29871
Valid 8: 0.81071 	 r2: 0.23125
Train 9: 0.85070 	 r2: 0.30766
Valid 9: 0.81169 	 r2: 0.23209
Train 10: 0.85459 	 r2: 0.31615
Valid 10: 0.81122 	 r2: 0.22931
Train 11: 0.85784 	 r2: 0.32349
Valid 11: 0.81000 	 r2: 0.22456
Train 12: 0.86073 	 r2: 0.33020
Valid 12: 0.80925 	 r2: 0.22055
Train 13: 0.86310 	 r2: 0.33569
Valid 13: 0.80902 	 r2: 0.21890
Train 14: 0.86518 	 r2: 0.34045
Valid 14: 0.80925 	 r2: 0.21954
Finish: (0.8116907995197062, 0.23208546945158726)
Test 15: 0.82695 	 r2: 0.25488
Train 1: 0.62290 	 r2: -0.01670
Valid 1: 0.75890 	 r2: 0.14172
Train 2: 0.79965 	 r2: 0.21483
Valid 2: 0.78714 	 r2: 0.19748
Train 3: 0.82262 	 r2: 0.25275
Valid 3: 0.79629 	 r2: 0.21367
Train 4: 0.82904 	 r2: 0.26483
Valid 4: 0.79862 	 r2: 0.21792
Train 5: 0.83278 	 r2: 0.27188
Valid 5: 0.80077 	 r2: 0.22076
Train 6: 0.83593 	 r2: 0.27780
Valid 6: 0.80287 	 r2: 0.22342
Train 7: 0.83896 	 r2: 0.28351
Valid 7: 0.80498 	 r2: 0.22588
Train 8: 0.84209 	 r2: 0.28949
Valid 8: 0.80732 	 r2: 0.22748
Train 9: 0.84491 	 r2: 0.29516
Valid 9: 0.80913 	 r2: 0.22943
Train 10: 0.84846 	 r2: 0.30252
Valid 10: 0.81036 	 r2: 0.23106
Train 11: 0.85191 	 r2: 0.30997
Valid 11: 0.81104 	 r2: 0.23090
Train 12: 0.85512 	 r2: 0.31699
Valid 12: 0.81130 	 r2: 0.23015
Train 13: 0.85818 	 r2: 0.32371
Valid 13: 0.81122 	 r2: 0.22959
Train 14: 0.86118 	 r2: 0.33044
Valid 14: 0.81118 	 r2: 0.22859
Train 15: 0.86419 	 r2: 0.33734
Valid 15: 0.81075 	 r2: 0.22513
