N: 20; d: 20
Train 1: 0.53925 	 r2: -0.42875
Valid 1: 0.74016 	 r2: 0.01392
Train 2: 0.76119 	 r2: 0.15182
Valid 2: 0.76217 	 r2: 0.16363
Train 3: 0.79538 	 r2: 0.21235
Valid 3: 0.76739 	 r2: 0.17297
Train 4: 0.80324 	 r2: 0.22484
Valid 4: 0.77528 	 r2: 0.18641
Train 5: 0.81322 	 r2: 0.23974
Valid 5: 0.78473 	 r2: 0.19911
Train 6: 0.82208 	 r2: 0.25372
Valid 6: 0.79198 	 r2: 0.20889
Train 7: 0.82782 	 r2: 0.26272
Valid 7: 0.79693 	 r2: 0.21509
Train 8: 0.83241 	 r2: 0.27014
Valid 8: 0.80206 	 r2: 0.22178
Train 9: 0.83704 	 r2: 0.27806
Valid 9: 0.80670 	 r2: 0.22745
Train 10: 0.84156 	 r2: 0.28621
Valid 10: 0.81072 	 r2: 0.23278
Train 11: 0.84540 	 r2: 0.29354
Valid 11: 0.81426 	 r2: 0.23942
Train 12: 0.84868 	 r2: 0.30050
Valid 12: 0.81754 	 r2: 0.24636
Train 13: 0.85171 	 r2: 0.30706
Valid 13: 0.81879 	 r2: 0.24991
Train 14: 0.85491 	 r2: 0.31414
Valid 14: 0.82059 	 r2: 0.25217
Train 15: 0.85696 	 r2: 0.31880
Valid 15: 0.82083 	 r2: 0.25157
Train 16: 0.85902 	 r2: 0.32349
Valid 16: 0.82100 	 r2: 0.25096
Train 17: 0.86087 	 r2: 0.32773
Valid 17: 0.82086 	 r2: 0.24938
Train 18: 0.86257 	 r2: 0.33162
Valid 18: 0.82045 	 r2: 0.24744
Train 19: 0.86386 	 r2: 0.33459
Valid 19: 0.81935 	 r2: 0.24477
Train 20: 0.86384 	 r2: 0.33415
Valid 20: 0.81674 	 r2: 0.23816
Train 21: 0.86581 	 r2: 0.33879
Valid 21: 0.81792 	 r2: 0.23914
Finish: (0.8209975516777371, 0.25096451864748026)
Test 22: 0.83411 	 r2: 0.26725
Train 1: 0.66506 	 r2: 0.04720
Valid 1: 0.75511 	 r2: 0.12282
Train 2: 0.78214 	 r2: 0.18993
Valid 2: 0.76293 	 r2: 0.15894
Train 3: 0.79677 	 r2: 0.21587
Valid 3: 0.77217 	 r2: 0.17412
Train 4: 0.81166 	 r2: 0.23690
Valid 4: 0.79353 	 r2: 0.20404
Train 5: 0.82456 	 r2: 0.25747
Valid 5: 0.80490 	 r2: 0.20748
Train 6: 0.83249 	 r2: 0.27032
Valid 6: 0.81224 	 r2: 0.22566
Train 7: 0.83854 	 r2: 0.28090
Valid 7: 0.81540 	 r2: 0.23603
Train 8: 0.84218 	 r2: 0.28754
Valid 8: 0.81702 	 r2: 0.24203
Train 9: 0.84548 	 r2: 0.29427
Valid 9: 0.81843 	 r2: 0.24716
Train 10: 0.84904 	 r2: 0.30195
Valid 10: 0.81907 	 r2: 0.24755
Train 11: 0.85190 	 r2: 0.30829
Valid 11: 0.81930 	 r2: 0.24788
Train 12: 0.85437 	 r2: 0.31364
Valid 12: 0.81918 	 r2: 0.24801
Train 13: 0.85661 	 r2: 0.31846
Valid 13: 0.81918 	 r2: 0.24745
Train 14: 0.85834 	 r2: 0.32217
Valid 14: 0.81882 	 r2: 0.24683
Train 15: 0.85986 	 r2: 0.32537
Valid 15: 0.81868 	 r2: 0.24621
Train 16: 0.86090 	 r2: 0.32760
Valid 16: 0.81744 	 r2: 0.24324
Finish: (0.8193027165401041, 0.24787898632214556)
Test 17: 0.83273 	 r2: 0.26614
Train 1: 0.62406 	 r2: 0.03348
Valid 1: 0.75454 	 r2: 0.10922
Train 2: 0.78205 	 r2: 0.18477
Valid 2: 0.76256 	 r2: 0.15806
Train 3: 0.79492 	 r2: 0.21243
Valid 3: 0.76837 	 r2: 0.17275
Train 4: 0.80393 	 r2: 0.22590
Valid 4: 0.77802 	 r2: 0.18125
Train 5: 0.81579 	 r2: 0.24413
Valid 5: 0.79145 	 r2: 0.19513
Train 6: 0.82470 	 r2: 0.25783
Valid 6: 0.80399 	 r2: 0.20981
Train 7: 0.83316 	 r2: 0.27159
Valid 7: 0.81246 	 r2: 0.22873
Train 8: 0.84014 	 r2: 0.28419
Valid 8: 0.81735 	 r2: 0.24637
Train 9: 0.84631 	 r2: 0.29626
Valid 9: 0.81993 	 r2: 0.25060
Train 10: 0.84947 	 r2: 0.30325
Valid 10: 0.82054 	 r2: 0.25109
Train 11: 0.85239 	 r2: 0.30973
Valid 11: 0.82095 	 r2: 0.25090
Train 12: 0.85483 	 r2: 0.31499
Valid 12: 0.82128 	 r2: 0.25103
Train 13: 0.85641 	 r2: 0.31837
Valid 13: 0.82128 	 r2: 0.25330
Train 14: 0.85555 	 r2: 0.31595
Valid 14: 0.81824 	 r2: 0.24879
Train 15: 0.85888 	 r2: 0.32362
Valid 15: 0.82046 	 r2: 0.25308
Train 16: 0.86166 	 r2: 0.32957
Valid 16: 0.82010 	 r2: 0.25069
Train 17: 0.86343 	 r2: 0.33357
Valid 17: 0.81961 	 r2: 0.24828
Train 18: 0.86448 	 r2: 0.33585
Valid 18: 0.81882 	 r2: 0.24591
Finish: (0.8212787713998666, 0.2533023263740636)
Test 19: 0.83417 	 r2: 0.26879
Train 1: 0.69916 	 r2: 0.07337
Valid 1: 0.75803 	 r2: 0.13468
Train 2: 0.78821 	 r2: 0.19849
Valid 2: 0.76434 	 r2: 0.16531
Train 3: 0.79946 	 r2: 0.22013
Valid 3: 0.77826 	 r2: 0.17521
Train 4: 0.81487 	 r2: 0.24083
Valid 4: 0.79956 	 r2: 0.21199
Train 5: 0.82839 	 r2: 0.26344
Valid 5: 0.80840 	 r2: 0.22063
Train 6: 0.83423 	 r2: 0.27296
Valid 6: 0.81256 	 r2: 0.22513
