N: 20; d: 20
Train 1: 0.59524 	 r2: -0.10437
Valid 1: 0.75314 	 r2: 0.13636
Train 2: 0.78299 	 r2: 0.19786
Valid 2: 0.76029 	 r2: 0.16206
Train 3: 0.79245 	 r2: 0.21059
Valid 3: 0.76182 	 r2: 0.17013
Train 4: 0.79509 	 r2: 0.21455
Valid 4: 0.76599 	 r2: 0.17369
Train 5: 0.80318 	 r2: 0.22603
Valid 5: 0.77911 	 r2: 0.18972
Train 6: 0.81773 	 r2: 0.24672
Valid 6: 0.79513 	 r2: 0.20315
Train 7: 0.82868 	 r2: 0.26331
Valid 7: 0.80865 	 r2: 0.22598
Train 8: 0.83751 	 r2: 0.27795
Valid 8: 0.81649 	 r2: 0.24418
Train 9: 0.84399 	 r2: 0.29104
Valid 9: 0.81927 	 r2: 0.24901
Train 10: 0.84795 	 r2: 0.29943
Valid 10: 0.82035 	 r2: 0.25140
Train 11: 0.85064 	 r2: 0.30567
Valid 11: 0.82083 	 r2: 0.25186
Train 12: 0.85326 	 r2: 0.31178
Valid 12: 0.82105 	 r2: 0.25197
Train 13: 0.85566 	 r2: 0.31755
Valid 13: 0.82128 	 r2: 0.25179
Train 14: 0.85748 	 r2: 0.32205
Valid 14: 0.82074 	 r2: 0.24516
Train 15: 0.85598 	 r2: 0.31826
Valid 15: 0.81862 	 r2: 0.24089
Train 16: 0.85906 	 r2: 0.32567
Valid 16: 0.81926 	 r2: 0.24434
Train 17: 0.85780 	 r2: 0.32290
Valid 17: 0.81786 	 r2: 0.24497
Train 18: 0.85951 	 r2: 0.32625
Valid 18: 0.81645 	 r2: 0.24168
Finish: (0.8212836937519832, 0.2517860513180228)
Test 19: 0.83393 	 r2: 0.26719
Train 1: 0.63803 	 r2: -0.07022
Valid 1: 0.75424 	 r2: 0.15092
Train 2: 0.78578 	 r2: 0.20028
Valid 2: 0.75999 	 r2: 0.16073
Train 3: 0.79312 	 r2: 0.21132
Valid 3: 0.76168 	 r2: 0.16923
Train 4: 0.79546 	 r2: 0.21520
Valid 4: 0.76394 	 r2: 0.17208
Train 5: 0.80018 	 r2: 0.22216
Valid 5: 0.77005 	 r2: 0.17937
Train 6: 0.80954 	 r2: 0.23577
Valid 6: 0.78109 	 r2: 0.19189
Train 7: 0.82175 	 r2: 0.25431
Valid 7: 0.79899 	 r2: 0.20859
Train 8: 0.83557 	 r2: 0.27574
Valid 8: 0.81638 	 r2: 0.24524
Train 9: 0.84660 	 r2: 0.29660
Valid 9: 0.82121 	 r2: 0.25357
Train 10: 0.85291 	 r2: 0.31031
Valid 10: 0.82270 	 r2: 0.25508
Train 11: 0.85756 	 r2: 0.32117
Valid 11: 0.82312 	 r2: 0.25319
Train 12: 0.86078 	 r2: 0.32876
Valid 12: 0.82275 	 r2: 0.25123
Train 13: 0.86198 	 r2: 0.33160
Valid 13: 0.82058 	 r2: 0.24176
Train 14: 0.85701 	 r2: 0.32038
Valid 14: 0.81351 	 r2: 0.22896
Train 15: 0.86124 	 r2: 0.33055
Valid 15: 0.81890 	 r2: 0.23673
Train 16: 0.86562 	 r2: 0.34111
Valid 16: 0.81753 	 r2: 0.23617
Finish: (0.8231178237540866, 0.2531932386240331)
Test 17: 0.83481 	 r2: 0.26747
Train 1: 0.72015 	 r2: 0.11127
Valid 1: 0.75903 	 r2: 0.14721
