N: 1; d: 20
Train 1: 0.67256 	 r2: -0.07677
Valid 1: 0.74878 	 r2: 0.15724
Train 2: 0.78568 	 r2: 0.20382
Valid 2: 0.76063 	 r2: 0.16322
Train 3: 0.79250 	 r2: 0.20991
Valid 3: 0.76181 	 r2: 0.16879
Train 4: 0.79442 	 r2: 0.21264
Valid 4: 0.76409 	 r2: 0.17114
Train 5: 0.80007 	 r2: 0.21933
Valid 5: 0.77325 	 r2: 0.18232
Train 6: 0.81212 	 r2: 0.23513
Valid 6: 0.78287 	 r2: 0.19471
Train 7: 0.81956 	 r2: 0.24659
Valid 7: 0.78926 	 r2: 0.20181
Train 8: 0.82468 	 r2: 0.25411
Valid 8: 0.79378 	 r2: 0.20677
Train 9: 0.82943 	 r2: 0.26114
Valid 9: 0.79787 	 r2: 0.21104
Train 10: 0.83464 	 r2: 0.26892
Valid 10: 0.80431 	 r2: 0.22069
Train 11: 0.83981 	 r2: 0.27727
Valid 11: 0.80616 	 r2: 0.22321
Train 12: 0.84405 	 r2: 0.28495
Valid 12: 0.80825 	 r2: 0.22708
Train 13: 0.84847 	 r2: 0.29362
Valid 13: 0.80936 	 r2: 0.22920
Train 14: 0.85251 	 r2: 0.30218
Valid 14: 0.80989 	 r2: 0.22934
Train 15: 0.85404 	 r2: 0.30662
Valid 15: 0.80976 	 r2: 0.22871
Train 16: 0.85416 	 r2: 0.30842
Valid 16: 0.81117 	 r2: 0.23517
Train 17: 0.85753 	 r2: 0.31605
Valid 17: 0.81249 	 r2: 0.23739
Train 18: 0.86225 	 r2: 0.32635
Valid 18: 0.81381 	 r2: 0.23998
Train 19: 0.86625 	 r2: 0.33572
Valid 19: 0.81434 	 r2: 0.24079
Train 20: 0.86898 	 r2: 0.34254
Valid 20: 0.81357 	 r2: 0.23870
Train 21: 0.87116 	 r2: 0.34816
Valid 21: 0.81284 	 r2: 0.23618
Train 22: 0.87177 	 r2: 0.34979
Valid 22: 0.81126 	 r2: 0.23333
Train 23: 0.87190 	 r2: 0.35134
Valid 23: 0.81287 	 r2: 0.23615
Train 24: 0.87567 	 r2: 0.35988
Valid 24: 0.81056 	 r2: 0.23058
Finish: (0.8143378343534331, 0.24079134415289816)
Test 25: 0.82817 	 r2: 0.25725
Train 1: 0.66498 	 r2: -0.10719
Valid 1: 0.74727 	 r2: 0.15498
Train 2: 0.78474 	 r2: 0.20260
Valid 2: 0.76083 	 r2: 0.16346
Train 3: 0.79248 	 r2: 0.20992
Valid 3: 0.76176 	 r2: 0.16865
Train 4: 0.79429 	 r2: 0.21253
Valid 4: 0.76386 	 r2: 0.17102
Train 5: 0.79975 	 r2: 0.21899
Valid 5: 0.77202 	 r2: 0.18096
Train 6: 0.81065 	 r2: 0.23307
Valid 6: 0.78083 	 r2: 0.19178
Train 7: 0.81808 	 r2: 0.24438
Valid 7: 0.78682 	 r2: 0.19830
Train 8: 0.82312 	 r2: 0.25166
Valid 8: 0.79239 	 r2: 0.20485
Train 9: 0.82753 	 r2: 0.25797
Valid 9: 0.79547 	 r2: 0.20773
Train 10: 0.83181 	 r2: 0.26452
Valid 10: 0.79908 	 r2: 0.21288
